comment_id,comment,timestamp,is_response,response_of,case_id,conversation_id,language,emotion,etiqueta
Ugy9jZ53l3_BYNVVMXR4AaABAg,,2024-07-10 13:59:53+00:00,FALSE,,YtgoxfG7uX8,Ugy9jZ53l3_BYNVVMXR4AaABAg,de,Neutral,Comparison
Ugy9jZ53l3_BYNVVMXR4AaABAg.A5iAIVIS83CABDiSYSmGgd,,2024-11-24 11:59:46+00:00,TRUE,Ugy9jZ53l3_BYNVVMXR4AaABAg,YtgoxfG7uX8,Ugy9jZ53l3_BYNVVMXR4AaABAg,ur,Positivo,Desires
UgxAw79WN437IB5LUVB4AaABAg,,2024-06-23 14:17:52+00:00,FALSE,,YtgoxfG7uX8,UgxAw79WN437IB5LUVB4AaABAg,de,Negativo,Comparison
UgxAw79WN437IB5LUVB4AaABAg.A51QqHgqvjSABDiTN5sXe7,,2024-11-24 11:59:52+00:00,TRUE,UgxAw79WN437IB5LUVB4AaABAg,YtgoxfG7uX8,UgxAw79WN437IB5LUVB4AaABAg,ur,Positivo,Desires
UgwNL-7VuvlbfeIoEIV4AaABAg,,2024-05-25 08:23:50+00:00,FALSE,,YtgoxfG7uX8,UgwNL-7VuvlbfeIoEIV4AaABAg,en,Positivo,Comparison
UgwNL-7VuvlbfeIoEIV4AaABAg.A3r7GsQSqFxABDiV6VmjAn,,2024-11-24 12:00:07+00:00,TRUE,UgwNL-7VuvlbfeIoEIV4AaABAg,YtgoxfG7uX8,UgwNL-7VuvlbfeIoEIV4AaABAg,hi,Positivo,Desires
UgwNL-7VuvlbfeIoEIV4AaABAg.A3r7GsQSqFxAExLcgviNLw,,2025-02-25 04:10:03+00:00,TRUE,UgwNL-7VuvlbfeIoEIV4AaABAg,YtgoxfG7uX8,UgwNL-7VuvlbfeIoEIV4AaABAg,ur,Positivo,Desires
UgyBjAc77vBsQNVW9rV4AaABAg,,2024-05-04 09:27:28+00:00,FALSE,,YtgoxfG7uX8,UgyBjAc77vBsQNVW9rV4AaABAg,de,Positivo,Comparison
UgyBjAc77vBsQNVW9rV4AaABAg.A309rereeGtA4TrO5qsPd7,,2024-06-09 18:45:53+00:00,TRUE,UgyBjAc77vBsQNVW9rV4AaABAg,YtgoxfG7uX8,UgyBjAc77vBsQNVW9rV4AaABAg,de,Neutral,Comparison
UgwqTfmPwe4F0iubI8J4AaABAg,,2023-02-08 19:14:58+00:00,FALSE,,YtgoxfG7uX8,UgwqTfmPwe4F0iubI8J4AaABAg,de,Negativo,Comparison
UgwqTfmPwe4F0iubI8J4AaABAg.9lsva3g2PmDADPfHRqB1WT,,2025-01-17 20:25:42+00:00,TRUE,UgwqTfmPwe4F0iubI8J4AaABAg,YtgoxfG7uX8,UgwqTfmPwe4F0iubI8J4AaABAg,de,Positivo,Comparison
Ugz87xiB87LLMUAaN3V4AaABAg,,2023-01-04 19:45:46+00:00,FALSE,,YtgoxfG7uX8,Ugz87xiB87LLMUAaN3V4AaABAg,de,Negativo,Comparison
Ugz87xiB87LLMUAaN3V4AaABAg.9kTrHyxbVET9kWM_YUmclL,,2023-01-05 19:06:24+00:00,TRUE,Ugz87xiB87LLMUAaN3V4AaABAg,YtgoxfG7uX8,Ugz87xiB87LLMUAaN3V4AaABAg,de,Positivo,Expression of personal feelings
Ugz87xiB87LLMUAaN3V4AaABAg.9kTrHyxbVET9l2-HafdyNJ,,2023-01-18 20:37:01+00:00,TRUE,Ugz87xiB87LLMUAaN3V4AaABAg,YtgoxfG7uX8,Ugz87xiB87LLMUAaN3V4AaABAg,de,Positivo,Comparison
Ugz7hxpOF9LOYnS7aOd4AaABAg,,2023-01-04 00:23:41+00:00,FALSE,,YtgoxfG7uX8,Ugz7hxpOF9LOYnS7aOd4AaABAg,de,Negativo,Expression of personal feelings
