video_ID,BC5CDR_Terms,BC5CDR_Count,Search_Term,Content_Classification,duration_seconds,duration_seconds,comment_count,video_title,video_description,detected_language,is_live_broadcast,is_archived_live,live_actual_start_time,live_actual_end_time
qwPHP99ejVU,"[""Parkinson's, Alzheimer's, and other neurodegenerative pathologies"", 'stroke', 'neurological injuries']",3,Neurorrehabilitación,"Científico
",26,26,0,Neurorrehabilitación y Fisioterapia a domicilio,"¡Mejora tu calidad de vida desde casa con INIMA Rehabilitación!

En INIMA, nos especializamos en neurorrehabilitación a domicilio, ofreciendo tratamientos personalizados para personas con lesiones neurológicas, ictus, Parkinson, Alzheimer, y otras patologías neurodegenerativas. Sabemos lo importante que es recibir una atención de calidad en la comodidad de tu hogar, por eso trabajamos para mejorar tu independencia y bienestar.

✅¡Aceptamos el cheque servicio de atención a la dependencia de la Comunidad de Madrid!
No dejes que tu rehabilitación se detenga. Confía en un equipo profesional y comprometido con tu salud. ¡Nosotros te acompañamos en cada paso!

📲 Contacta con nosotros hoy y descubre cómo podemos ayudarte a mejorar tu vida desde casa.
📞 634 472 942

Recuerda que:

💪🏼 Realizamos nuestros tratamientos 100% en el domicilio.

🏠Somos profesionales expertos en neurorrehabilitación y fisioterapia a domicilio.

✅Realizar tratamientos de rehabilitación nunca fue tan fácil y cómodo.

💚INIMA te acompaña en el camino hacia tu bienestar para mejorar tu calidad de vida.🧡

#SaludNeurológica #BienestarCerebral #CuidadoNeurológico #CuidadoCerebral #SaludMental #NeurorrehabilitaciónADomicilio #mayores #dependencia #chequeservicio #madrid #fisioterapia #TrabajoSocial #calidaddevida #TerapiaOcupacional #PacienteNeurológico #Neurorehabilitación #DependenciaMadrid #ChequeServicioMadrid #Ictus #Parkinson #Alzheimer #RehabilitaciónADomicilio #SaludYBienestar #CalidadDeVida #AtenciónADomicilio #INIMARehabilitación #FisioterapiaNeuro #EstimulaciónCognitiva",es,True,True,2024-11-04T10:52:41Z,2024-11-04T10:55:16Z
xS1s8jUMmgE,"['cognitive and motor function', 'neurological disorders', 'brain injuries']",3,Neurorrehabilitación,"Científico
",156,156,3,Hablamos sobre la Estimulación Magnética Transcraneal (EMT) y su uso en neurorrehabilitación.,"Vanessa Jerez, nuestra directora, habla sobre la Estimulación Magnética Transcraneal (EMT) o TMS por sus siglas en inglés, una técnica no invasiva e indolora que utiliza campos magnéticos para estimular áreas específicas del cerebro. Nos enfocamos en su uso en la neurorrehabilitación, explorando cómo puede ayudar a mejorar la función cognitiva y motora en pacientes con lesiones cerebrales o trastornos neurológicos, mejorando notablemente la calidad de vida.

Si estás interesado o necesitas más información, puedes visitar nuestra web o ponerte en contacto con nosotros:

www.neuro-centro.com
info@neuro-centro.com
822 044 037 / 621 268 065",es,False,False,,
QZx-PNPkaBU,"['Brain Injury', 'brain injury']",2,Neurorrehabilitación,"Científico
",174,174,3,Rehabilitación del daño cerebral infantil. Sesión de fisioterapia,En la Red Menni de Daño Cerebral ( http://www.xn--daocerebral-2db.es/) disponemos de unidades de rehabilitación infantil y atención temprana. La pequeña Bea ha estado unos meses trabajando duro con nosotros. Esta es una pequeña muestra de su evolución http://www.xn--daocerebral-2db.es/la-rehabilitacion-de-bea-o-la-historia-de-una-pequena-gran-luchadora/,es,False,False,,
AJuqxz7Ypc0,['cord injury'],1,Neurorrehabilitación,"Científico
",339,339,0,Terapia intensiva en neurorrehabilitación en lesión medular en fase crónica,"Entrevista con Yolanda, paciente de Centro Europeo de Neurociencias que en noviembre de 2019 realizó un programa intensivo de 3 semanas para mejorar su marcha. El video muestra también imágenes de algunas de las actividades de rehabilitación que Yolanda realizó durante su tratamiento.",es,True,True,2019-11-27T09:00:54Z,2019-11-27T09:07:47Z
DA2qS3QNUpE,"['post-stroke', 'Stroke', 'stroke']",3,Neurorrehabilitación,"Científico
",112,112,1,Logopedia para Rehabilitación de Ictus: Métodos Innovadores y Eficaces,"La logopedia para rehabilitación de ictus es un campo en constante evolución. En este vídeo, descubrirás métodos innovadores y eficaces para mejorar la comunicación y la recuperación post-ictus. Aprenderás sobre las últimas técnicas de logopedia, historias inspiradoras de recuperación y consejos prácticos para aplicar en el día a día. Además, discutiremos cómo la logopedia puede no solo mejorar la habilidad para hablar, sino también la calidad de vida de quienes han sufrido un ictus. Únete a nosotros en este viaje de descubrimiento y empoderamiento.

Logopeda para Ictus a domicilio en Madrid desde 35€ la visita de 45 minutos. 
Logopedas expertas en rehabilitación de Ictus en casa.  
El desplazamiento en Madrid está incluido en el precio. 
También colaboramos con residencias, mutuas y fundaciones con descuentos especiales. 
Entidad sanitaria reconocida por el departamento de sanidad de la comunidad de Madrid.

Pide cita al 697123879!

Consigue más información en:
https://logopedasencasa.com/
Síguenos en Instagram:
https://www.instagram.com/tratamientosadomicilio/

#LogopediaIctus
#RehabilitaciónIctus
#RecuperaciónPostIctus
#TerapiaDeHabla
#InnovaciónLogopédica
#SaludYBienestar
#RecuperaciónEfectiva
#MotivaciónyEsperanza
#ConsejosDeLogopedia
#TransformaciónPostIctus",es,True,True,2021-07-15T10:12:09Z,2021-07-15T10:16:01Z
juOkRtPZHK8,['vasculitis'],1,Neurorrehabilitación,"Irrelevante
",237,237,0,Javier vuelve a correr gracias a la neurorrehabilitación,"Noemí, fisioterapeuta, y Javier, paciente del hospital nos cuentan cómo ha sido su proceso de rehabilitación tras padecer una vasculitis. #rehabilitación #experiencia #testimonio #running",es,False,False,,
4Rzp3WKd0wk,"['rhombencephalitis', 'Rhombencephalitis', 'infection']",3,Neurorrehabilitación,"Científico
",225,225,0,Neurorrehabilitación de romboencefalitis: El caso de Jorge,Jorge es un joven que sufre de romboencefalitis como consecuencia del contagio con el virus de Epstein-Barr. Conoce como la fisioterapia combate las secuelas y está mejorando su calidad de vida.,es,False,False,,
C5Fl05crk0w,[],0,Neurorrehabilitación,"Irrelevante
",41,41,1,Qué es la neurorrehabilitación,¿Qué es la neurorrehabilitación y como se aborda?,es,False,False,,
rtfbN-ee6sI,['neurological disorders'],1,Neurorrehabilitación,"Científico
",140,140,0,UMH TV - Estudiantes UMH realizan estancias prácticas de neurorrehabilitación en Bielorrusia,"Tras el accidente nuclear de Chernóbil, los habitantes de la región de Gómel (en Bielorrusia) sufren trastornos y enfermedades neurológicas causadas por la radiación. Para ayudar en la rehabilitación de estos pacientes, la Universidad Miguel Hernández ha creado un programa de estancias prácticas para estudiantes. Las primeras en ir han sido 5 estudiantes de Terapia Ocupacional.",es,False,False,,
zvE1rWis56k,['brain damage'],1,Neurorrehabilitación,"Científico
",137,137,1,Neurorrehabilitación: Ayuda en el proceso de mejora del daño cerebral,"Hablamos con Nicolás García Aracil, cofundador de iDRaH, y con Juan Barios Heredero, CEO de ILSB, que nos cuentan los progresos que están logrando en cuanto a la neurorrehabilitación del daño cerebral en pacientes.

Conoce más del Parque Científico UMH en:

- https://parquecientificoumh.es/es


Y síguenos en nuestras redes sociales:

- Twitter: https://twitter.com/pcientificoumh
- Facebook: https://www.facebook.com/PcientificoUMH
- LinkedIn: https://www.linkedin.com/company/parque-cientifico-de-la-umh---elche
- Instagram: https://www.instagram.com/pcientificoumh/",es,False,False,,
