,BC5CDR_Terms,BC5CDR_Count,Search_Term,Content_Classification,duration_seconds,duration_seconds,comment_count,video_title,video_description,detected_language,is_live_broadcast,is_archived_live,live_actual_start_time,live_actual_end_time
J6eW1dbY_mU,"['polyp', 'MEDICA', 'MONERT', 'bleeding']",4,Procedimiento endóscopico,"Científico
",1031,1031,0,COMO SE HACE UNA ENDOSCOPIA...???? DR PABLO MONERT MOYA.,"https://api.whatsapp.com/message/QWCLAIRIEVF3G1?autoload=1&app_absent=0&utm_source=ig
📸Sígueme en Instagram y TikTok: @dr.pablomonert

Endoscopia Digestiva Alta: ¿Cómo se hace y qué se siente? (Paso a Paso) 🩺
Descripción: ¿Te mandaron una endoscopia y estás nervioso/a? ¡Tranquilo/a! En este video te muestro exactamente cómo realizamos una Endoscopia Digestiva Alta (Panendoscopia) de principio a fin.
Verás que es un procedimiento mucho más sencillo de lo que imaginas.
En este video aprenderás: ✅ La preparación: ¿Cómo te sedamos para que no sientas nada? ✅ El procedimiento: Cómo introducimos el endoscopio (es una manguera muy delgada y flexible). ✅ La visión médica: ¿Qué vemos los doctores en la pantalla? (Esófago, estómago y duodeno). ✅ El diagnóstico: Cómo detectamos gastritis, úlceras, helicobacter pylori o reflujo en tiempo real.
La endoscopia es el ""estándar de oro"" para cuidar tu salud digestiva. Pierde el miedo y conoce la tecnología que nos ayuda a curarte.
🔔 Suscríbete para más explicaciones médicas claras y sin censura.

#Endoscopia #Endoscopy #Gastroscopia #Gastroscopy #SaludDigestiva #DigestiveHealth #Gastroenterologo #Gastroenterology #EGD #UpperEndoscopy #Estomago #StomachPain #Gastritis #Ulceras #Reflujo #AcidReflux #ProcedimientoMedico #MedicalProcedure #Salud #Health #Medicina #Sedacion #Biopsia",es,False,False,,
3J4pxd2ohK0,[],0,Procedimiento endóscopico,"Científico
",361,361,1151,El Dr. Juan Rivera se somete por primera vez a una endoscopia,"Después de meses de sentir malestares estomacales, el Dr. Juan Rivera se sometió por primera vez a una endoscopia. Y valientemente nos enseñó el paso a paso de cómo fue este procedimiento médico.

SUSCRÍBETE
http://bit.ly/20L91KL

VISITA EL SITIO OFICIAL
http://www.univision.com/shows/despierta-america

FOLLOW US
Twitter: https://twitter.com/despiertamerica 
Facebook: http://facebook.com/despiertamerica
Instagram: https://www.instagram.com/despiertamerica
 
En Despierta América encontrarás tips de belleza, recetas, entrevistas exclusivas, noticias, rutinas para ponerte en forma y mucha diversión. Karla Martínez, Alan Tacher, Ana Patricia, Francisca Lachapel y Satcha Pretto, te esperan de Lunes a Viernes 7AM/6C por Univision.",es,False,False,,
jyYU69MudaM,"['CO2', 'cellulite', 'carbon dioxide', 'adiposity', 'rosacea']",5,Procedimiento endóscopico,"Científico
",669,669,65,Rejuvenecimiento Facial completo - Lifting Endoscópico (14061),"Lifting de Frente, Cirugía de Párpados con Láser de Co2, Lifting de Cara y Cuello.

El Lifting invisible o endoscópico es un procedimiento que tiene por finalidad lograr un rejuvenecimiento facial completo levantando las cejas y eliminando el exceso de piel de los párpados superiores. 

Este procedimiento se realiza a través de una mínima incisión oculta en el cuero cabelludo, en mujeres y hombres que presenten un descenso de las cejas y un exceso de piel de los párpados superiores.

Como resultado se obtiene el rejuvenecimiento de la mirada y una expresión más descansada, alegre y juvenil en el rostro. 

El Lifting invisible se realiza con anestesia local y sedación, y la duración del procedimiento es de aproximadamente 30 minutos. El tiempo aproximado para retomar normalmente las actividades es de 3 a 7 días.
Generalmente este procedimiento se complementa con el rejuvenecimiento de párpados inferiores, cara y cuello realizado con láser de dióxido de carbono.

El Dr. Ricardo Hoogstra realiza este procedimiento desde el año 1994, habiéndose capacitado en la prestigiosa Clínica Mayo en Jacksonville, USA.

En el lifting invisible no se quita piel, se utilizan técnicas video-endoscópicas y sus resultados son más duraderos que el lifting convencional ya que el láser retrae la piel, no daña los músculos y da a la mirada una expresión natural, juvenil y sin cicatrices.

Centro de Estética Facial y Corporal Dr. Hoogstra
Sedes en Belgrano, Caballito y Pilar - Ciudad de Buenos Aires
Consultas en Uruguay
Teléfono: (54) (011) 4904-0880 / 4901-6690
Visite nuestra Web: www.drhoogstra.com.ar
Consultas Online y Vía Skype

Diseñado para atender todas las necesidades del paciente antes, durante y después de cualquier procedimiento estético.
La unidad quirúrgica cuenta con la habilitación de la Secretaría de Salud Pública y está equipada con las últimas tecnologías para brindar máxima seguridad a cada procedimiento.

El Dr. Ricardo Hoogstra ha incorporado la más moderna tecnología láser para el rejuvenecimiento facial, tratamiento de arrugas, cirugía de párpados, eliminación de ojeras, bolsas y manchas de la piel, depilación definitiva, várices, remoción de tatuajes y rosácea.

Es el primer Centro en Latinoamérica en utilizar tecnología láser NO invasiva para el tratamiento de adiposidades localizadas, celulitis y modelado del cuerpo.

Somos pioneros en procedimientos video-endoscópicos para el rejuvenecimiento facial y colocación de prótesis mamarias.",es,False,False,,
8ctUdt8ksdo,"['S Í G U E M E E N R E D E S 📱\n\n', 'gastritis', 'HEMORROIDES', '𝐓𝐎𝐊', 'pylori, cancer', 'intestinal atrophy', 'gastric cancer', 'ulcers', 'QUE', 'polyps', 'intestinal metaplasia']",11,Procedimiento endóscopico,"Científico
",195,195,684,Endoscopia con biopsia,"La endoscopia con biopsia nos puede ayudar a detectar helicobacter pylori, cáncer,  metaplasia intestinal, atrofia intestinal, gastritis, etc. 
La endoscopía se realiza en general a partir de los 40 años y su intención principal no es buscar gastritis, sino úlceras, pólipos o cáncer gástrico que pueda curarse.

En este video te explico en qué consiste una endoscopía con biopsia y te doy unas recomendaciones para que tengas en cuenta.

// M Á S  V I D E O S 🎥

╞ HEMORROIDES LO QUE QUIERES SABER: https://youtu.be/RMjcXMH2lsY 
╞ ESTREÑIMIENTO EN ADULTOS MAYORES: https://youtu.be/R1GuDlvQv2w 
╞ BULTO ANAL: https://youtu.be/bqT1tjcCpFk
╞ TRATAMIENTO HELICOBACTER PYLORI: https://youtu.be/0DPLyf7xhsE
╞ DIARREA EN ADULTOS: https://youtu.be/1FJzo99BcEM
╞ ENFERMEDAD POR REFLUJO: https://youtu.be/9z3uMkopZXA
╞COLON IRRITABLE: https://youtu.be/IdT6L39pSII
╞ GASTRITIS: https://youtu.be/3Cn95gbgD2w
╞ CONTROL CON ENDOSCOPÍA DESPUÉS DE UNA ÚLCERA: https://youtu.be/HI2VutyXZLU
╞ CUANDO SE REALIZA UNA ENDOSCOPÍA: https://youtu.be/1qHVQFZe6Wc

___

💻 S Í G U E M E  E N  R E D E S 📱

✔𝗙𝗔𝗖𝗘𝗕𝗢𝗢𝗞  ☛☛☛    https://www.facebook.com/pg/JulioSantiagoMarcelo/
✔𝗜𝗡𝗦𝗧𝗔𝗚𝗥𝗔𝗠 ☛☛☛  @dr.juliosantiagomarcelo
✔𝗟𝗜𝗡𝗞𝗘𝗗𝗜𝗡     ☛☛☛   https://www.linkedin.com/in/julio-santiago-marcelo-5169b119a/
✔𝐓𝐈𝐊 𝐓𝐎𝐊       ☛☛☛   dr.juliosantiagomarcelo

📩 Para contacto o colaboraciones: santiagomarcelo20@gmail.com
☎️ Para citas presenciales en Lima u online a todo el Perú y el extranjero escribir al WhatsApp: +51 917623134 
wa.me/51917623134
___

// S O B R E  M Í 👨‍⚕️

¡Hola! Mi nombre es Julio Santiago Marcelo, soy médico Gastroenterólogo y quiero ayudar a las personas dándoles información sobre enfermedades que afectan el tracto digestivo.

Soy peruano y me verás en las redes haciendo lo que más me gusta: Ayudar a las personas 🙂

Me alegra un montón que estés aquí 👍",es,True,True,2022-07-01T23:00:13Z,2022-07-01T23:05:20Z
VEVhvvy6xl0,"['Sleeve Gastroplasty\n\nA novel, non-invasive weight loss']",1,Procedimiento endóscopico,"Irrelevante
",46,46,12,Manga gástrica endoscópica,"Novedoso método no intrusivo usado en Europa y América del Sur para bajar de peso sin cirugía.
mangaendogstrica.com.mx",es,False,False,,
4yu89NIqkQ4,[],0,Procedimiento endóscopico,"Científico
",2245,2245,45,Gastroscopía y colonoscopía ¿cómo se hacen y para qué son?,Gastroscopía y colonoscopía ¿cómo se hacen y para qué son?,es,False,False,,
fYGQIu09M_E,['weight loss'],1,Procedimiento endóscopico,"Irrelevante
",68,68,2,¿Qué es una Manga Gástrica Endoscópica sin Cirugía?,"Conoce este Nuevo procedimiento en México para pérdida de peso, SIN CIRUGÍA, SIN INCISIONES EN LA PARTE EXTERNA DEL CUERPO, AMBULATORIO, DISCRETO, CON RECUPERACIÓN MÁS RÁPIDA, SIN QUITAR PARTE DEL ESTÓMAGO. ¿Qué esperas? #DecídeteHoy
mangaendogastrica.com.mx
558036 8885",es,True,True,2022-10-20T03:35:57Z,2022-10-20T03:39:03Z
TxaRqJ4GH2s,"['Diabetes', 'Sleeve Gastroplasty\n\n', 'weight loss']",3,Procedimiento endóscopico,"Científico
",163,163,17,Manga Gástrica por Endoscopia o Gastroplastia en Manga por Endoscopia,"Conoce todo sobre Manga Gástrica por Endoscopia con el Dr. Camilo Ortiz, especialista en Cirugía Laparoscópica Avanzada y Endoscopia Gastrointestinal. Es experto en Cirugía de Manga Gástrica por Endoscopia, Cirugía de Manga Gástrica por Laparoscopia, Mini Bypass Gástrico, Bypass Gástrico, Balón Intragástrico, Cirugía de la Diabetes, Reflujo Gastroesofágico, Endoscopía y Colonoscopia. Haz una cita con él a través de su perfil: https://www.topdoctors.com.co/doctor/camilo-ortiz

La Gastroplastia en Manga por Endoscopia o Manga gástrica por Endoscopia es un procedimiento para perder peso que no causa ninguna herida en el abdomen que se hace en su totalidad por la boca. Es un procedimiento que se puede hacer ambulatorio o de una noche hospitalización. El promedio de pérdida de peso es de 20 a 30 kilos. 

✔ Suscríbete al canal: http://bit.ly/36PZpbv​ 
✔ Síguenos en Instagram: https://bit.ly/3420Uoy​
✔ Estamos en Facebook: http://bit.ly/2Re2gEA​ 
✔ Síguenos en Twitter: http://bit.ly/2TisY1q​
✔ Síguenos en Spotify: https://spoti.fi/3KZ74az

¿Qué encontrarás en este video? 

1.- Manga Gástrica por Endoscopia o Gastroplastia en Manga por Endoscopia  00:07

Para encontrar a los mejores Cirujanos Bariátricos en Bogotá visita: https://www.topdoctors.com.co/bogota/cirugia-bariatrica-especialidad/",es,False,False,,
x7-ws7gjK3k,['obesity'],1,Procedimiento endóscopico,"Científico
",219,219,7,GASTROPLASTIA ENDOSCÓPICA,"Se realizó el primer procedimiento de gastroplastia endoscópica. Con la presencia de grandes referentes de la salud  Dr. Manoel Galvao desde Brasil, pionero del procedimiento y el Dr. Paul Abarca gastroenterólogo especialista del HVQ.​

Este tratamiento cero invasivo mejora la calidad de vida del paciente, y logra una pronta recuperación. ​

Esto es un  hito para la medicina en el País, ya que permite controlar y disminuir el problema de la obesidad. ​

El Hospital Vozandes Quito continúa innovando sus equipos y capacitando a sus especialistas para este procedimiento.

#salud #innovación #tecnologia  #medicina #gastroenterología 
#hospital #quito #cuidamosdeti #cuidamosdetodos",es,False,False,,
N9wVhTDj-iM,"['throat', 'weight loss']",2,Procedimiento endóscopico,"Científico
",272,272,5,Manga gástrica endoscópica: proceso que toma menos de una hora y que ayuda a bajar de peso,"El doctor Abel Bello explicó que se trata de un procedimiento médico que reduce el estómago hasta en un 80%. Esta técnica no utiliza la cirugía, sino que inserta un dispositivo de sutura en la garganta que baja hasta el estomago. El procedimiento dura menos de una hora y el paciente puede estar en casa el mismo día en el que se le realiza.

Suscríbete:
http://uni.vi/ZUFhu
Infórmate: http://uni.vi/ZSu0S
Dale ‘Me Gusta’ en Facebook: http://uni.vi/ZUFuE
Síguenos en Twitter: http://uni.vi/ZUFwr
e Instagram: http://uni.vi/ZUFyN

Las noticias y reportajes más impactantes que ocurren en Estados Unidos y el mundo, presentadas por Michelle Galván y Pamela Silva-Conde.

#PrimerImpacto #Noticias #Salud",es,False,False,,
