,BC5CDR_Terms,BC5CDR_Count,Search_Term,Content_Classification,duration_seconds,duration_seconds,comment_count,video_title,video_description,detected_language,is_live_broadcast,is_archived_live,live_actual_start_time,live_actual_end_time
E07CNW3NWTM,"['pain', 'ATP', 'atherosclerosis', 'Cholesterol', 'Blue', 'enfermedad%20de%20las%20arterias%20coronarias', 'https://www.facebook.com/Hiperactina/']",7,Rehabilitación cardíaca,"Científico
",874,874,835,¿Cómo DETECTAR un INFARTO CARDÍACO (a tiempo)?,"🎙️ MI PODCAST (Hablando en rata 🐁):
https://www.youtube.com/@hablandoenrata

Imagina que estás viendo una película. En medio de una escena, uno de los personajes principales agarra su pecho con expresión de dolor, su cara se vuelve totalmente pálida y comienza a sudar intensamente. Acto seguido, se desmaya. ¿Te imaginas qué le puede haber pasado? Efectivamente, un ataque cardíaco. ¿Serías capaz de darte cuenta de que tú o alguien cercano está sufriendo un infarto? ¿Qué causa un infarto y cómo podemos evitarlo? Y si hemos sufrido un infarto, ¿Qué ocurre después? ¿Puede recuperarse el corazón?

🎁 MI PATREON:
Si quieres ayudarme a seguir creando vídeos que te hagan entender mejor cómo funciona el cuerpo humano, puedes convertirte en un ATP, MITOCONDRIA o CÉLULA y conseguir acceso a contenido exclusivo y votaciones para elegir los próximos temas:
https://www.patreon.com/lahiperactina

🎉 SÍGUEME EN REDES:
https://www.tiktok.com/@lahiperactina
https://twitter.com/lahiperactina
https://www.instagram.com/lahiperactina/
https://www.facebook.com/Hiperactina/

📚 MI LIBRO SOBRE BIOMEDICINA:
https://amzn.to/3FrkoCf

El MATERIAL QUE USO EN MIS VÍDEOS:
📷 Cámara (Sony Alpha 6400): https://amzn.to/3HvCa9f
📷 Webcam (Logitech C922 Pro Stream): https://amzn.to/3cKHmrB
🎙️ Micrófono USB (Blue Yeti): https://amzn.to/3nq2Y2P
🎙️ Micrófono de solapa (BOYA): https://amzn.to/2Z42fLc
💡 Aro de luz (Neewer): https://amzn.to/3x3x7YZ
💡 Panel de luz LED (Neewer): https://amzn.to/3qOsfpB
💡 Tiras LED colores (Ksipze): https://amzn.to/30KcULS
🔭Trípode (Manfrotto): https://amzn.to/3x8rYis

📩 CONTACTO: 
contacto@lahiperactina.com

✍️ FUENTES:
https://www.nhlbi.nih.gov/es/salud/corazon/latidos-cardiacos#:~:text=En%20reposo%2C%20una%20frecuencia%20card%C3%ADaca,m%C3%A1s%20ox%C3%ADgeno%20para%20los%20m%C3%BAsculos. 
https://www.quironsalud.com/blogs/es/corazon/arterias-coronarias-funcionamiento-cardiaco 
https://www.mayoclinic.org/es/diseases-conditions/coronary-artery-disease/symptoms-causes/syc-20350613#:~:text=Las%20arterias%20coronarias%20pueden%20estrecharse,por%20sus%20siglas%20en%20ingl%C3%A9s). 
https://www.cigna.com/es-us/knowledge-center/hw/fumar-y-la-enfermedad-de-las-arterias-coronarias-hw79682#:~:text=Fumar%20aumenta%20su%20riesgo%20de,enfermedad%20de%20las%20arterias%20coronarias. 
https://www.modernheartandvascular.com/es/alcohols-effect-on-the-heart/ 
https://fundaciondelcorazon.com/blog-impulso-vital/3245-el-infarto-femenino-icomo-avisa.html 
https://cinfasalud.cinfa.com/p/infarto/ 
https://www.mayoclinic.org/es/diseases-conditions/heart-attack/diagnosis-treatment/drc-20373112 
https://fundaciondelcorazon.com/blog-impulso-vital/3095-rehabilitacion-cardiaca-como-recuperarse-tras-un-infarto.html 
https://medlineplus.gov/spanish/ency/article/000158.htm 
https://www.revespcardiol.org/es-terapia-celular-insuficiencia-cardiaca-articulo-13155716 

🔎 ÍNDICE:
00:00 Introducción
00:43 El corazón: ¿Cómo funciona?
02:54 Las arterias coronarias
03:46 Colesterol y aterosclerosis
04:31 Infarto cardíaco y causas
06:55 ¿Cómo detectar un infarto?
08:22 Síntomas de infarto en mujeres
09:16 ¿Qué hacer si tenemos un infarto?
10:22 ¿Qué ocurre después de un infarto?
11:57 ¿Podemos regenerar el tejido cardíaco? Terapia con células madre
13:23 Conclusión y despedida
14:02 Tomas falsas",es,False,False,,
dsrzFffc4ZA,[],0,Rehabilitación cardíaca,"Científico
",172,172,122,Cirugía de válvula aórtica: recuperación de una cirugía de corazón,"El Cirujano Cardiólogo Dr. Montiel Serrano es experto en la cirugía que repara la válvula aórtica. Nos cuenta en qué consiste esta operación, que es una intervención segura y cómo es su recuperación.

¿Quieres saber más sobre la cirugía de válvula aórtica? Solicita tu cita aquí: http://www.topdoctors.es/doctor/jose-montiel-serrano",es,False,False,,
-ZhkDupuNKI,['pandemic'],1,Rehabilitación cardíaca,"Científico
",193,193,17,Exercícios em casa: pacientes em reabilitação cardiopulmonar ou idosos,"Mesmo em época de isolamento social por causa da pandemia do novo coronavírus, é importante manter o corpo ativo. Confira as dicas de exercícios que o Centro de Reabilitação Einstein preparou para pacientes em recuperação cardiopulmonar. Idosos também podem fazer. #CooperarParaControlar #NovoCoronavírus #FiqueEmCasa",pt,False,False,,
rApVkDoFRy4,"['Cardiovascular Disease', 'myocardial infarction', 'cardiovascular disease']",3,Rehabilitación cardíaca,"Científico
",702,702,28,Factores de riesgo NO modificables para enfermedad cardiovascular,"Repaso de los factores NO modificables para tener un infarto del corazón y enfermedad cardiovascular. Son aquellos que hacen que una persona tenga más probabilidad de tener estas enfermedades, y que a su vez se pueden cambiar o eliminar. Algunos ejemplos típicos son la edad y sexo.

*Recordatorio importante/Disclaimer: El contenido mostrado y distribuido en este canal es puramente educativo y opinión personal, y no refleja la posición u opinión de ninguna institución pública o privada. No es una prescripción médica, y no sustituye a una consulta médica presencial. Recuerda consultar a tu médico.",es,False,False,,
jsgEQRY0G7Y,['heart disease'],1,Rehabilitación cardíaca,"Científico
",617,617,111,Programa de Rehabilitación Cardiaca: RESUMEN COMPLETO,"Una visión general de nuestro Programa de Rehabilitación Cardiaca para personas con (o sin!) enfermedad del corazón: ejercicio físico, alimentación y educación en enfermedades cardiacas.

🚨 ENLACE AL PROGRAMA COMPLETO (en pdf): https://drive.google.com/file/d/1_PylJKwJj90FMyWUH8Y3K5cZ0J8v57V7/view?usp=sharing

*Recordatorio importante/Disclaimer: El contenido mostrado y distribuido en este canal es puramente educativo y opinión personal, y no refleja la posición u opinión de ninguna institución pública o privada. No es una prescripción médica, y no sustituye a una consulta médica presencial. Recuerda consultar a tu médico.",es,False,False,,
zGWPyD3cyt0,[],0,Rehabilitación cardíaca,"Científico
",608,608,106,FISIOTERAPIA EM PACIENTE CARDÍACO? PARA QUE SERVE?,"PARA QUE SERVE A FISIOTERAPIA EM PACIENTE CARDÍACO?
QUAL O PAPEL DA FISIOTERAPIA PARA O PACIENTE CARDÍACO?
FISIOTERAPIA SENDO USADA NO PACIENTE CARDÍACO!
QUANDO INDICAR FISIOTERAPIA NO PACIENTE CARDÍACO?

Estamos em Indaiatuba - SP!

✔ WhatsApp exclusivo para agendamento de consulta: https://api.whatsapp.com/send?phone=5519999759933

✔ Telefone da Clínica Yano: (19) 3770-3554.

✔ Link para todos meus conteúdos: https://linktr.ee/dr.yano

Olá amigo do coração. Seja bem vindo ao meu canal do Youtube! Aqui você estará sempre recebendo informações de como cuidar da saúde do seu coração. Se você não é inscrito no canal, se inscreva e clique no sininho para receber todas as notificações. 

Vídeos que você não pode perder:

5 maneiras de evitar a Embolia Pulmonar.
https://www.youtube.com/watch?v=Q9Ln_8V2kt0&t

5 alimentos que desinflamam.
https://www.youtube.com/watch?v=0rVYeK9aTNA&t

5 sintomas de rins fracos.
https://www.youtube.com/watch?v=OYYCv1ueXik&t

Câncer de Intestino. Sintomas! Tem cura?
https://www.youtube.com/watch?v=6xDEDsARGSQ

Posso tomar tadalafila todo dia? Tadalafila uso diário?
https://www.youtube.com/watch?v=9KRHcEGntQo&t

7 benefícios do café! Como o café pode proteger o seu coração?
https://www.youtube.com/watch?v=w-A4_JCWIgg

Qual pressão é mais perigosa ao coração? A pressão alta ou a baixa?
https://www.youtube.com/watch?v=t4VjJKwmk2s

Sintomas de coração fraco. Você conhece os sintomas de um coração fraco?
https://www.youtube.com/watch?v=-ADzpyQ78-c&t

8 fatores de risco para o INFARTO! 
https://www.youtube.com/watch?v=JNQgkMzm_g0&t

5 Sintomas da arritmia cardíaca!
https://www.youtube.com/watch?v=tlyAxZ8fiFQ&t

5 sinais da trombose!
https://www.youtube.com/watch?v=Dhp9YW-_7DI&t

5 alimentos que vão inflamar o seu corpo.
https://www.youtube.com/watch?v=XFYaMfZazZc

É verdade que vinho evita Infarto?
https://www.youtube.com/watch?v=Dson_0b0OvM&t

7 exames de sangue que previnem um infarto
https://www.youtube.com/watch?v=SdpzArwk8C0

5 Sinais de que o seu CORAÇÃO pode estar FRACO.
https://www.youtube.com/watch?v=SXnsmxSegnM

3 tipos de alimentos para evitar um ataque cardíaco.
https://www.youtube.com/watch?v=Wi8CppWy6Xo

✔ Meu Telegram: https://t.me/robertoyano
✔ Site Facebook: Dr. Roberto Yano
✔ Meu Instagram: @dr.yano",pt,False,False,,
kmz5YyCyyNE,[],0,Rehabilitación cardíaca,"Científico
",581,581,57,Programa de Rehabilitación Cardiaca: Semana 1,"Desglosamos por semanas la parte de ejercicio físico y entrenamiento de nuestro Programa de Rehabilitación Cardiaca, empezando con la Semana 1. Les explico los ejercicios a realizar y las pauta sde entrenamiento para la semana.

🚨 ENLACE AL PROGRAMA COMPLETO (en pdf):
https://drive.google.com/file/d/1_PylJKwJj90FMyWUH8Y3K5cZ0J8v57V7/view?usp=sharing

Marcas de tiempo:
0:00 Introducción
1:29 Calentamiento
2:32 Ejercicios/Movimientos
5:20 Pauta de Entrenamiento

*Recordatorio importante/Disclaimer: El contenido mostrado y distribuido en este canal es puramente educativo y opinión personal, y no refleja la posición u opinión de ninguna institución pública o privada. No es una prescripción médica, y no sustituye a una consulta médica presencial. Recuerda consultar a tu médico.",es,False,False,,
F0obese8m-I,"['cardiovascular disease', 'angina', 'chest pain -- gastroesophageal reflux', 'Chest Pain', 'coronary artery disease', 'Chest pain']",6,Rehabilitación cardíaca,"Científico
",449,449,13,El 1 - 2 - 3 del dolor en el pecho,"El dolor de pecho no siempre significa un ataque al corazón o enfermedad cardiovascular. El Dr. Eduardo Sánchez explica tres causas comunes de dolor en el pecho -- reflujo gastroesofágico, angina y enfermedad de las arterias coronarias -- en House Calls.",es,False,False,,
ksvJeFGCygg,['heart failure'],1,Rehabilitación cardíaca,"Científico
",219,219,1,Ejercicio con insuficiencia cardíaca (subtítulos en español).,Qué precauciones tomar y cómo hacer ejercicio con insuficiencia cardíaca.,es,False,False,,
-cYzYi0BK9U,"['Heart Failure\n\n', 'heart failure']",2,Rehabilitación cardíaca,"Científico
",60,60,10,Ejercicio con insuficiencia cardíaca,"Las limitaciones físicas que impone la insuficiencia cardíaca no son una razón para no hacer ningún ejercicio. Más bien, todo lo contrario, porque una actividad bien adaptada mejora el flujo sanguíneo y fortalece el corazón, lo que hace que trabaje con más eficacia y, con ello, mejoren los síntomas.
Hablamos de #personasmayores #adultomayor #shorts 
Contacta: info@prottech.es
Suscripción: https://tinyurl.com/prottech
Facebook: @Prottech1",es,False,False,,
