,BC5CDR_Terms,BC5CDR_Count,Search_Term,Content_Classification,duration_seconds,duration_seconds,comment_count,video_title,video_description,detected_language,is_live_broadcast,is_archived_live,live_actual_start_time,live_actual_end_time
V3vhXQy48jo,"['psychiatric', 'Somatic Experiencing', 'Der', 'worry', 'OCD', 'mental illness', 'anxiety']",7,Terapia Cognitivo Conductual,"Científico
",1204,1204,6906,Intrusive Thoughts and Overthinking: The Skill of Cognitive Defusion 20/30,"Do you want to learn How to Process Emotions and improve your Mental Health? Sign up for a Therapy in a Nutshell Membership, you'll get access to all of Emma’s courses, workbooks, and a Live Q and A with 100’s of exclusive videos: https://courses.therapyinanutshell.com/membership

Get the course: How to Help: Peer-to-Peer Support Certification
https://courses.therapyinanutshell.com/practical-psychotherapy-skills?utm_campaign=Jul%202,%202021&utm_medium=Description&utm_source=YouTube

Get the course: How to Process Your Emotions
https://courses.therapyinanutshell.com/emotion-processing?utm_campaign=Jul%202,%202021&utm_medium=Description&utm_source=YouTube

Do you ever find yourself overthinking a situation or battling intrusive thoughts? This video will teach you the skill of cognitive defusion, which will help you separate yourself from your thoughts so that you can look at them rather than through them.

Intrusive thoughts can be scary, dark or painful. They can make you worry that you're losing your mind. they are associated with OCD but they can also just pop up out of nowhere. But Intrusive thoughts don't have to ruin your life. 
Overthinking is another problem that many people face, constantly dwelling on thoughts or rehashing them over and over. 
We swim through our thoughts like a fish swims through water. We don’t even notice that the way we think colors our view of the world. 
Or sometimes we do notice thoughts that we don’t like, and then we don’t know what to do with them. Sometimes you fight them or struggle against them, but that doesn’t feel any better. 
So sometimes you get stuck in an endless loop of overthinking, obsessively struggling against a thought. But that’s not any better, because struggle steals your attention and energy. 
In this video you’re going to learn how to get unstuck from your intrusive thoughts and break free from patterns of overthinking.  You’re going to learn how to look at your thoughts instead of through them. 
This skill is called cognitive defusion. 

Looking for affordable online therapy? My sponsor, BetterHelp, connects you to a licensed professional from the comfort of your own home. Try it now for 10% off: https://betterhelp.com/therapyinanutshell

Learn more in one of my in-depth mental health courses: https://courses.therapyinanutshell.com/?utm_campaign=07012021&utm_medium=Description&utm_source=YouTube
Support my mission on Patreon: https://www.patreon.com/therapyinanutshell
Sign up for my newsletter: https://courses.therapyinanutshell.com/free-resources
Check out my favorite self-help books: https://kit.co/TherapyinaNutshell/best-self-help-books
Check out my podcast, Therapy in a Nutshell: https://tinpodcast.podbean.com/

Therapy in a Nutshell, LLC, and the information provided by Emma McAdam are solely intended for informational and entertainment purposes and are not a substitute for advice, diagnosis, or treatment regarding medical or mental health conditions. Although Emma McAdam is a licensed marriage and family therapist, the views expressed on this site or any related content should not be taken for medical or psychiatric advice. Always consult your physician before making any decisions related to your physical or mental health.
In therapy I use a combination of Acceptance and Commitment Therapy, Systems Theory, positive psychology, and a bio-psycho-social approach to treating mental illness and other challenges we all face in life. The ideas from my videos are frequently adapted from multiple sources. Many of them come from Acceptance and Commitment Therapy, especially the work of Steven Hayes, Jason Luoma, and Russ Harris. The sections on stress and the mind-body connection derive from the work of Stephen Porges (the Polyvagal theory), Peter Levine (Somatic Experiencing) Francine Shapiro (EMDR), and Bessel Van Der Kolk. I also rely heavily on the work of the Arbinger institute for my overall understanding of our ability to choose our life's direction. 
And deeper than all of that, the Gospel of Jesus Christ orients my personal worldview and sense of security, peace, hope, and love https://www.churchofjesuschrist.org/comeuntochrist/believe

If you are in crisis, please contact the National Suicide Prevention Hotline at https://suicidepreventionlifeline.org/ or 1-800-273-TALK (8255) or your local emergency services.
Copyright Therapy in a Nutshell, LLC
----
Music licensed from www.Bensound.com or Artlist.io
Images from Freepik.com (premium license), Pixabay, or Wikimedia commons",en,False,False,,
mxwUyUoXHVc,"['excoriation disorder', 'mania', 'trichotillomania', 'cognitive behavior', 'major depression', 'attention deficit disorder', 'Lip', 'compulsive behavior', 'inositol', 'anxiety disorders', 'ADHD', 'skin-picking', 'N-acetylcysteine', 'bipolar disorder', 'repetitive disorders']",15,Terapia Cognitivo Conductual,"Científico
",477,477,18071,Skin Picking and Hair Pulling Explained. What are Body Focused Repetitive Behaviors?,"✨ UNLOCK YOUR BRAIN'S FULL POTENTIAL! My free 2-minute quiz reveals your unique ""Brain Operating System"" and gives you a personalized guide to master your focus, handle stress, and perform at your best. Take the Quiz → https://drmarks.co/BrainQuiz-yt

The two most common behaviors are hair pulling and skin picking. These two have official names in the diagnostic manual. Hair pulling is called trichotillomania and skin-picking is called excoriation disorder. Even though trichotillomania has mania in the name, it has nothing to do with the mania of bipolar disorder.

Some other body focused repetitive disorders include:
Nail biting also called Onychotillomania
Lip biting
Nose picking

Some of the therapies used to help this condition are habit reversal training, which is a type of cognitive behavior therapy and a self-help technique called decoupling. With decoupling, you perform a different behavior whenever you feel the tension that normally triggers the compulsion. The idea is that this other behavior that you do, decouples or disrupts the connection between the emotion and the compulsion. Engaging in the other behavior allows you to gain some control over the compulsive behavior.

We don’t have any medications that are standardly used for this disorder. There’s been some evidence that inositol and N-acetylcysteine have been helpful. Both of these are supplements that you can get without a prescription. Other alternative therapies are yoga, aerobic exercise, acupuncture, biofeedback and hypnosis.

Download the Habit Reversal Handout here: https://markspsychiatry.com/habit-reversal/

References
Grant JE, Odlaug BL, Chamberlain SR, et al: Skin picking disorder. Am J Psychiatry 169(11):1143–1149, 2012 PubMed ID: 23128921

Moritz S, Rufer M. Movement decoupling: A self-help intervention for the treatment of trichotillomania. J Behav Ther Exp Psychiatry. 2011 Mar;42(1):74-80. doi: 10.1016/j.jbtep.2010.07.001. Epub 2010 Jul 14. PMID: 20674888.

Torales J, Barrios I, Villalba J. Alternative Therapies for Excoriation (Skin Picking) Disorder: A Brief Update. Adv Mind Body Med. 2017 Winter;31(1):10-13. PMID: 28183072.

Disclaimer: All of the information on this channel is for educational purposes and not intended to be specific/personal medical advice from me to you. Watching the videos or getting answers to comments/question, does not establish a doctor-patient relationship. If you have your own doctor, perhaps these videos can help prepare you for your discussion with your doctor.",en,False,False,,
q6aAQgXauQw,"['depression', 'self-harm', 'insomnia', 'panic', 'anxiety']",5,Terapia Cognitivo Conductual,"Científico
",235,235,571,What is Cognitive Behavioral Therapy?,"Explore CBT care options: https://psychhub.com/

CBT is an evidence-based treatment that can help people with depression, anxiety, panic attacks, hard relationships, and many other problems.

#CognitiveBehavioralTherapy #MentalHealth
__

Follow and subscribe to Psych Hub:
https://www.facebook.com/PsychHubEd/
https://twitter.com/psychhub
https://www.instagram.com/psychhubeducation/ 
https://www.linkedin.com/company/psychhubeducation/ 

__

Psych Hub is an educational service, and the information in this video is not a substitute for professional advice, diagnosis, or treatment. If you or someone you know are experiencing what you believe are mental health symptoms, please consult with a trained medical professional or a licensed mental health provider. We recommend consulting with a licensed behavioral health provider before trying any of the strategies mentioned in our materials. 

If you or someone you know is in immediate danger, please call 911. For information on how to find support and treatment, and hotlines for specific issues and audiences, visit PsychHub.com/Hotline.

If you or someone you know are having thoughts of suicide or self-harm or are experiencing a mental health crisis, please call a national 24/7 hotline. For United States residents, those are:

988 Lifeline
Support for anyone experiencing a mental health crisis.
Availability: 24/7/365
Call or text: 988
Chat: https://chat.988lifeline.org/
Website: https://988lifeline.org/
Ayuda en Español: 988, presione 2 o escriba ayuda
sitio web: https://988lifeline.org/es/inicio/
Deaf, Hard of Hearing, Hearing Loss: https://988lifeline.org/deaf-hard-of-hearing-hearing-loss/
ASL Now: https://988.aslnow.io/phones/100030001/
TTY: Use your preferred relay service or dial 711 then 988

Crisis Text Line
AVAILABILITY: 24/7/365
US: Text HOME to 741741
CA: Text 686868
UK: Text 85258
Ireland: Text 50808
WEBSITE: www.crisistextline.org  

© 2024 Psych Hub, LLC. All Rights Reserved.",en,False,False,,
aAVGyRMS3gE,"['cognitive distortions', 'Cognitive distortions', 'psychiatric', 'cognitive behavior', 'Somatic Experiencing', 'cognitive distortion', 'Der', 'depression', 'mental illness', 'anxiety']",10,Terapia Cognitivo Conductual,"Científico
",1043,1043,815,Cognitive Distortions: Cognitive Behavioral Therapy Techniques 18/30,"Do you want to learn How to Process Emotions and improve your Mental Health? Sign up for a Therapy in a Nutshell Membership, you'll get access to all of Emma’s courses, workbooks, and a Live Q and A with 100’s of exclusive videos: https://courses.therapyinanutshell.com/membership

Get the course: Overcoming Perfectionism and People Pleasing
https://courses.therapyinanutshell.com/perfectionism-and-people-pleasing?utm_campaign=Jun%2017,%202021&utm_medium=Description&utm_source=YouTube

Get the course: How to Process Your Emotions
https://courses.therapyinanutshell.com/emotion-processing?utm_campaign=Jun%2017,%202021&utm_medium=Description&utm_source=YouTube

Cognitive distortions are thoughts that aren't actually true but feel true. Your thoughts twist reality, and you start to feel like you’re bad, broken, or deficient. Or you begin to see the world as dangerous, threatening, or cruel. 
But here’s the thing with cognitive distortions: you don’t realize you’re doing it. You think the way you see things is reality. It feels true. When you think or talk through the lens of a cognitive distortion, you sound rational and accurate to yourself. So is there anything you can do about this? Cognitive Behavioral Therapy can help you change how you feel by changing how you think. 
The first step is to learn what cognitive distortions are and notice when you’re using them. 

Looking for affordable online therapy? My sponsor, BetterHelp, connects you to a licensed professional from the comfort of your own home. Try it now for 10% off: https://betterhelp.com/therapyinanutshell

Learn more in one of my in-depth mental health courses: https://courses.therapyinanutshell.com/?utm_campaign=06172021&utm_medium=Description&utm_source=YouTube
Support my mission on Patreon: https://www.patreon.com/therapyinanutshell
Sign up for my newsletter: https://courses.therapyinanutshell.com/free-resources
Check out my favorite self-help books: https://kit.co/TherapyinaNutshell/best-self-help-books
Check out my podcast, Therapy in a Nutshell: https://tinpodcast.podbean.com/

Therapy in a Nutshell, LLC, and the information provided by Emma McAdam are solely intended for informational and entertainment purposes and are not a substitute for advice, diagnosis, or treatment regarding medical or mental health conditions. Although Emma McAdam is a licensed marriage and family therapist, the views expressed on this site or any related content should not be taken for medical or psychiatric advice. Always consult your physician before making any decisions related to your physical or mental health.

In therapy I use a combination of Acceptance and Commitment Therapy, Systems Theory, positive psychology, and a bio-psycho-social approach to treating mental illness and other challenges we all face in life. The ideas from my videos are frequently adapted from multiple sources. Many of them come from Acceptance and Commitment Therapy, especially the work of Steven Hayes, Jason Luoma, and Russ Harris. The sections on stress and the mind-body connection derive from the work of Stephen Porges (the Polyvagal theory), Peter Levine (Somatic Experiencing) Francine Shapiro (EMDR), and Bessel Van Der Kolk. I also rely heavily on the work of the Arbinger institute for my overall understanding of our ability to choose our life's direction. 
And deeper than all of that, the Gospel of Jesus Christ orients my personal worldview and sense of security, peace, hope, and love https://www.churchofjesuschrist.org/comeuntochrist/believe

If you are in crisis, please contact the National Suicide Prevention Hotline at https://suicidepreventionlifeline.org/ or 1-800-273-TALK (8255) or your local emergency services.
Copyright Therapy in a Nutshell, LLC
----
Music licensed from www.Bensound.com or Artlist.io
Images from Freepik.com (premium license), Pixabay, or Wikimedia commons",en,False,False,,
5YJ_t41Z440,[],0,Terapia Cognitivo Conductual,"Científico
",3444,3444,290,"Cómo dejar de ser tu peor enemigo | Alba Cardalda, psicóloga","Entra en nuestra web: https://aprendemosjuntos.bbva.com/
Suscríbete a nuestro canal de YouTube: https://www.youtube.com/channel/UCI6QcXatdaEAaRTRjl3dc0w
Síguenos en Instagram: https://www.instagram.com/aprendemosjuntosbbva/
Síguenos en Facebook: http://fb.com/aprendemosjuntosBBVA
Síguenos en TikTok: https://www.tiktok.com/@aprendemosjuntosbbva?_t=8q4wz5Xt8bI&_r=1
Síguenos en X: http://twitter.com/aprenderjuntos_
Escucha nuestros podcasts en Spotify: https://open.spotify.com/show/07rXxtOlzNI0NuB8vpAgvE

¿Qué sucedería si silenciásemos nuestra voz interior? ¿Seríamos más felices o infelices? ¿Cómo establecer límites y comunicarse con asertividad? ¿Es posible una forma más sana de relacionarnos con nosotros y los demás? A estas y otras preguntas responde la psicóloga Alba Cardalda en este vídeo, donde propone estrategias para afrontar la comunicación y relaciones sociales con seguridad, autoestima y fortaleza. 

Alba Cardalda se define como psicóloga, neuropsicóloga, conferenciante, escritora y nómada. Porque un día, después de años de experiencia y asistencia en un centro de neurorrehabilitación, decidió escuchar los consejos y reflexiones de los pacientes mayores que trataba, atender a su vocación, dejarlo todo, hacer la mochila y empezar un viaje por el mundo. Lo que pensaba que serían dos meses de viaje y aprendizajes vitales se convirtió en una nueva forma de entender su vida y expandir su consulta clínica desde cualquier lugar del mundo. Cardalda es terapeuta especializada en psicoterapia breve y estratégica, terapia cognitivo-conductual y autora de dos libros, ‘Cómo dejar de ser tu peor enemigo’ y ‘Cómo mandar a la mierda de forma educada’, donde aporta herramientas prácticas que mejoran el bienestar y las relaciones humanas. 

“Si en la escuela, tal como nos enseñan matemáticas o lengua, y nos enseñaran a comunicarnos de forma asertiva, a identificar cuáles son nuestros límites y a poder expresarlos, y a que no nos sentara mal cuando las otras personas nos los expresan a nosotros, seguramente aprenderíamos a tener relaciones mucho más sanas y hoy en día nuestra vida sería bastante diferente”, reflexiona la autora. Estrategias para afrontar conversaciones incómodas, claves de asertividad y seguridad en uno mismo y herramientas de ‘mindfulness’ para silenciar el diálogo interior destructivo son algunas de las prácticas recomendaciones que comparte con sus pacientes y seguidores, a través de sus libros, conferencias y creación de contenido digital.

#AprendemosJuntos",es,False,False,,
mdFUUwXiq9w,"['depressions', 'depression', 'treatment-resistant depression']",3,Terapia Cognitivo Conductual,"Científico
",48,48,1021,¿Eutanasia por depresión? #terapiaanalitica #news #terapiapsicologica,"💔 El 22 de mayo, una joven de 29 años fue eutanasiada en Holanda tras ser diagnosticada con una """"depresión resistente"""". Pero, ¿qué significa realmente ese término?

🧠 Muchos psiquiatras alertan de que, en realidad, estas depresiones no son resistentes, sino maltratadas. Una verdadera depresión resistente no responde a tres psicofármacos, ni a terapia electroconvulsiva, ni a intervención psicoterapéutica como la TCC.

⚠ Cada día, miles de personas como ella se quiebran ante el sufrimiento, después de escuchar frases como: “Esto es crónico, nunca mejorarás, solo te queda medicarte de por vida”.

💬 ¿Estamos fallando en la forma en que abordamos los casos más complejos? ¿Hasta qué punto el sistema valida el abandono terapéutico?

🎥 📺 Puedes ver la charla completa en el enlace de la biografía.
🎥 @COPM

. . #Psicoterapia #Psicoterapeuta #SaludMental #Terapia #Bienestar #FormaciónPsicoterapéutica #BienestarEmocional #PsicoterapeutasEnFormación #CrecimientoProfesional #PsicologíaIntegrativa #EnfoqueBasadoEnEvidencia",es,False,False,,
9G81Nfb5anc,"['panic attacks', 'panic', 'Anxiety', 'anxiety']",4,Terapia Cognitivo Conductual,"Científico
",417,417,2154,Treino para Ansiedade e Pânico | Psicólogo Diego Falco,"Conheça meu curso Completo e Definitivo de TCC: https://www.essencialdatcc.com.br/

Conheça também minha plataforma de Imunidade Mental: https://www.imunidademental.com.br/

-----------------------------------------------------------------

Teste Grátis por 30 dias o Kindle Unlimited: https://amzn.to/3idHGzy - Tenha acesso à Mais de um milhão de eBooks para você ler onde e quando quiser. Incluindo o MEU! :)

Teste Grátis por 30 dias o Amazon prime: https://amzn.to/3cM7fXf - Tenha frete grátis e acesso ao Prime Vídeo e assista séries famosas como Anéis do Poder e The Boys - Você ajuda o canal através deste link ;)

Se você for estudante de psicologia ou profissional da área, e quiser se aprofundar na Terapia Cognitivo-Comportamental e ter mais confiança clínica, conheça nosso Ebook Gratuito TCC em detalhes: https://essencialdatcc.com.br/tccemdetalhes

Baixe também, GRATUITAMENTE, materiais para uso clínico: https://essencialdatcc.com.br/materiais-gratuitos-tcc/

Para conhecer meus ebooks e meu trabalho:

[Best-Seller 💎] Ebook Essencial da TCC: https://amzn.to/2Q0EZHa

Ebook VENCENDO O BURNOUT: https://amzn.to/2RRgWgJ

Um dos maiores medos das pessoas que possuem uma ansiedade exagerada, mais improdutiva do que produtiva, é a possibilidade de se ter uma crise de ansiedade ou ataque de pânico e não saber o que fazer com isso. Neste vídeo, você descobrirá como lidar com essas crises e se sentirá mais seguro em seu dia dia.

Hoje eu vou falar sobre um treino respiratório que nós da terapia cognitivo comportamental utilizamos no consultório e que pode te ajudar a lidar melhor com sua Ansiedade e cortar as crises de ansiedade e pânico.

--------------------------------------------------------------------------------------

Caso seja terapeuta ou estudante, o mais indicado é o livro da Judith Beck Terapia Cognitivo Comportamental: teoria e prática. http://amzn.to/2vqGgLp

Para aprender os ensinamentos e também aplicar algumas técnicas da terapia cognitiva o livro a mente vencendo o humor: http://amzn.to/2vqtAEi

_______________________________________

Siga nas redes sociais e nosso podcast: 

http://facebook.com/falcoericci

https://instagram.com/terapiacognitivaonline

https://anchor.fm/diego-falco




Nosso canal busca uma melhor qualidade de vida para você! Por isso, inscreva-se em nosso canal para ficar atualizado 
com todos os nossos vídeos, nos ajudar a crescer e assim mais pessoas serem ajudadas:

http://bit.ly/falcoyoutube


Temos vídeo novo toda Terça-feira com temas variados.

Aos sábados teremos vídeos respondendo as perguntas de nossos seguidores, por isso, não deixe de nos enviar uma pergunta pelo Instagram e Youtube na quarta-feira.


Produção: Diego Falco

Roteiro: Diego Falco / Alcione Ricci

Direção: Diego Falco

Psicólogos: 

Diego Candeloro Falco CRP 06/122081
Alcione Candeloro Ricci CRP 06/13108

FALCO E RICCI QUALIDADE DE VIDA 
Cadastrada pelo número CRP 5264/J
e pelo CNPJ 22.029.976/0001­-20
_______________________


Imagens designed by Freepik.com


Obrigado e até a próxima! ,)

#TerapiaCognitiva #Psicologia #TerapiaCognitivoComportamental #SaúdeMental #SaúdeEmocional #Psicólogo",pt,False,False,,
YBzvkgARehg,"['cognitive distortions', 'psychiatric', 'Somatic Experiencing', 'cognitive distortion', 'Der', 'depression', 'Anxiety', 'trauma', 'mental illness', 'anxiety']",10,Terapia Cognitivo Conductual,"Pseudocientífico
",952,952,591,Emotional Reasoning- The Cognitive Distortion that makes you Emotionally Reactive - Anxiety 18/30,"Stop emotional reasoning—learn how this cognitive distortion fuels anxiety and reactivity, and discover CBT tools to boost emotional regulation and clarity.
Join Therapy in a Nutshell’s membership: https://courses.therapyinanutshell.com/membership
You'll get instant access to all 10 life-changing courses, live weekly Q&As, and a supportive community for just $27/month. Learn how to manage anxiety, process trauma, regulate emotions, and build lasting resilience so that you can live a deeply rich and meaningful life! 

Break the Anxiety Cycle in 30 Days - Online course: https://courses.therapyinanutshell.com/anxietyskills

In this video I’m going to teach you an important skill to be less emotionally reactive. Essentially, how to control your emotions. Emotions lie to you all the time. But they feel so real. They are very powerful motivators, but they aren’t always accurate. In this video you’ll learn how to be less emotionally reactive by learning to combat emotional reasoning. You’ll learn 4 ways to slow yourself down in an intense moment and 3 steps to combating emotional reasoning. We'll also talk for a minute about the difference between emotions and intuition.
Emotional reasoning is a cognitive distortion where you believe that something is true simply because it feels true. You use emotions as your evidence, instead of logic or, you know, evidence. 
If you want to control your emotions, you need to learn how to recognize emotional reasoning and replace it with a combination of logic and values-based decision making. This is a fundamental skill from CBT, cognitive behavioral therapy. 

00:00 Intro 
02:22 OK, So What Is Emotional Reasoning?
06:40 So, If You Want To Be Less Emotionally Reactive, You’ve Got To Slow Things Down.

Click the link below to access the transcript: 
https://therapyinanutshell.com/emotional-reasoning/

Looking for affordable online counseling? My sponsor, BetterHelp, connects you to a licensed professional from the comfort of your own home. Try it now for 10% off your first month: https://betterhelp.com/therapyinanutshell

Join Therapy in a Nutshell’s membership and get instant access to all 10 life-changing courses, live weekly Q&As, and a supportive community for just $27/month. Learn how to manage anxiety, process trauma, regulate emotions, and build lasting resilience. Take small, powerful steps toward healing and a richer, more meaningful life. Start your journey today! https://courses.therapyinanutshell.com/membership


Looking for affordable online counseling? My sponsor, BetterHelp, connects you to a licensed professional from the comfort of your own home. Try it now for 10% off your first month: https://betterhelp.com/therapyinanutshell

FREE Mental Health Resources: https://courses.therapyinanutshell.com/free-resources
Check out my podcast, Therapy in a Nutshell: https://tinpodcast.podbean.com/

Therapy in a Nutshell and the information provided by Emma McAdam are solely intended for informational and entertainment purposes and are not a substitute for advice, diagnosis, or treatment regarding medical or mental health conditions. Although Emma McAdam is a licensed marriage and family therapist, the views expressed on this site or any related content should not be taken for medical or psychiatric advice. Always consult your physician before making any decisions related to your physical or mental health.
In therapy I use a combination of Acceptance and Commitment Therapy, Systems Theory, positive psychology, and a bio-psycho-social approach to treating mental illness and other challenges we all face in life. The ideas from my videos are frequently adapted from multiple sources. Many of them come from Acceptance and Commitment Therapy, especially the work of Steven Hayes, Jason Luoma, and Russ Harris. The sections on stress and the mind-body connection derive from the work of Stephen Porges (the Polyvagal theory), Peter Levine (Somatic Experiencing) Francine Shapiro (EMDR), and Bessel Van Der Kolk. I also rely heavily on the work of the Arbinger institute for my overall understanding of our ability to choose our life's direction. 
And deeper than all of that, the Gospel of Jesus Christ orients my personal worldview and sense of security, peace, hope, and love https://www.churchofjesuschrist.org/comeuntochrist/believe

If you are in crisis, please contact the National Suicide Prevention Hotline at https://suicidepreventionlifeline.org/ or 1-800-273-TALK (8255) or your local emergency services.
Copyright Therapy in a Nutshell, LLC",en,False,False,,
GC6TAVyfHkk,['anxiety'],1,Terapia Cognitivo Conductual,"Científico
",943,943,1697,PENSAMIENTOS REPETITIVOS POR ANSIEDAD | FANNY PSIQUIATRA,"😀Hola amigos en este video voy a hablarles acerca de los pensamientos repetitivos 

Adivinen que este tema tiene que ver por supuesto con la #ansiedad, cuando llegamos a tener pensamientos repetitivos o #pensamientosobsesivos 🙃regularmente estamos hablando de ansiedad.

Un pensamiento puede ser algo muy variado es decir desde una idea, una frase,  una imagen, una escena,  porque el pensamiento es algo mucho más complejo que propiamente las palabras,  un #pensamientorepetitivo o una #ideaobsesiva es que justamente esta imagen palabra escena que no podemos sacarla de nuestra cabeza, es decir sin importar el esfuerzo mayor que nosotros hagamos para dejar de pensar en eso simplemente no podemos o bien podemos hacerlo pero nos cuesta muchísimo trabajo,  esto está relacionado justamente con ansiedad.  

Cuando nosotros estamos preocupados, angustiados por algo nuestra mente trata de protegernos, cuando algo le angustia comienza a repetirlo y repetirlo y repetirlo o bien comienza a hacer diferentes caminos para tratar de canalizar esa emoción que él está sobrepasando y que no sabe qué hacer con ella 

A veces algo que he visto es que las personas que tienen ideas obsesivas se llegan a preocupar mucho también pensando en otras cosas por ejemplo, pensar en tener enfermedades:
Les dejo el vínculo del video sobre hipocondría 

👉https://youtu.be/86GxnorJzfo

Espero que este video les sea de utilidad, justo para saber que hacer cuando tenemos pensamientos repetitivos. 

Les mando un fuerte abrazo 

Recuerden darle like al video, suscribirse al canal, decirme de que quieren que hablemos aquí y nos vemos en el próximo video. 


😀 https://www.facebook.com/fannypsiquiatra  
😀 https://www.twitter.com/fannypsiquiatra 
😀 https://www.youtube.com/fannypsiquiatra 
😀 suscríbete 👉https://bit.ly/2Y241Jy
✔ blog  👉 https://www.saludemocional.mx

👉Vean mis videos con el Doctor Vic 
https://youtu.be/Xt_n9_Xr_XYtado y qué te ha funcionado?

https://youtu.be/_Au4Ju_m2mg

https://youtu.be/FNSE-R7DJvY😀😀😀😀",es,True,True,2020-06-01T01:30:09Z,2020-06-01T01:47:50Z
hKWzh9E0SXI,"['https://instagram.com/terapiacognitivaonline', 'na nossa lista', 'também', 'crescer', 'perguntas de nossos seguidores, por isso', 'isso', 'Psicólogos', 'humor']",8,Terapia Cognitivo Conductual,"Científico
",898,898,675,As 4 Técnicas de TCC Que Mais Uso (e os 3 Processos Por Trás),"Essas são as 4 técnicas de TCC que mais uso na clínica — e os 3 processos de transformação por trás delas. Se você sabe a teoria mas trava na aplicação, esse vídeo te entrega o que realmente importa antes de você atender amanhã.

⏱️ Capítulos:
0:00 - Por que entender PROCESSOS antes das técnicas
[1:58] - Processos 1: Restruturação Cognitiva
[2:05] - Processos 2: Aceitação
[2:14] - Processos 3: Resolução de Problemas (Teoria)
[2:30] - Técnica 1: Questionamentos Socráticos
[7:00] - Técnica 2: Cartão de Enfrentamento
[10:30] - Técnica 3: Experimento Comportamental
[13:15] - Técnica 4: Resolução de Problemas (Estratégia)

▶️ Quer aprofundar essas técnicas? Acabei de lançar o e-book ""Processos de Transformação da TCC e as 6 Principais Técnicas da Abordagem"" — aprendizado direto ao ponto, no formato que você quiser estudar: https://essencialdatcc.com.br/info1/

━━━━━━━━━━━━━━━━━━━━━━━━━

🎁 MATERIAIS GRATUITOS

📱 App de Estudos em TCC: https://essencialdatcc.com.br/cbt-essential-study-app
📕 E-book ""TCC em Detalhes"" (grátis): https://essencialdatcc.com.br/tccemdetalhes
📂 Materiais para uso clínico: https://essencialdatcc.com.br/materiais-gratuitos-tcc/

📚 QUERO APRENDER TCC NA PRÁTICA

▸ Formação Introdutória em TCC: https://essencialdatcc.com.br/formacao-introdutoria/
▸ Combo de Workshops (Modelo Cognitivo + Ansiedade): https://essencialdatcc.com.br/workshop-desvendando-o-modelo-cognitivo-combo-bio/
▸ Curso Completo e Definitivo de TCC: https://www.essencialdatcc.com.br/
▸ E-book ""Essencial da TCC"" (Best-Seller na Amazon): https://amzn.to/2Q0EZHa

━━━━━━━━━━━━━━━━━━━━━━━━━

👤 SOBRE O DIEGO FALCO

Psicólogo especialista em TCC, com aprofundamento no Beck Institute (EUA) e especialização em Psicologia Positiva pela University of Pennsylvania. Coordenador de pós-graduação em TCC. Mais de 5.800 alunos já passaram pelos meus cursos. Atendo clinicamente desde 2015.

🌐 Site: https://diegofalco.com.br
📸 Instagram: https://instagram.com/terapiacognitivaonline
📘 Facebook: https://facebook.com/falcoericci
🎙️ Podcast FALCOcast: https://anchor.fm/diego-falco

━━━━━━━━━━━━━━━━━━━━━━━━━

Psicólogo Diego Candeloro Falco — CRP 06/122081
FALCO E RICCI QUALIDADE DE VIDA — CRP 5264/J — CNPJ 22.029.976/0001-20

#TCC #TerapiaCognitivoComportamental #PsicologiaClínica #TécnicasDeTCC #ProcessosDeMudança #PsicólogoIniciante",pt,False,False,,
