,BC5CDR_Terms,BC5CDR_Count,Search_Term,Content_Classification,duration_seconds,duration_seconds,comment_count,video_title,video_description,detected_language,is_live_broadcast,is_archived_live,live_actual_start_time,live_actual_end_time
jgJKaP0Sj5U,"['Killer T cell attacking cancer', 'cancer', 'autoimmune diseases']",3,Tratamiento cáncer,"Científico
",62,62,14526,Killer T cell attacking cancer,"Cambridge University's Under the Microscope is a collection of videos that show glimpses of the natural and man-made world in stunning close-up. Check out the rest of the series here: http://bit.ly/A6bwCE

In this video we see a killer T cell of the immune system attacking a cancer cell.

Professor Gillian Griffiths:
""Cells of the immune system protect the body against pathogens. If cells in our bodies are infected by viruses, or become cancerous, then killer cells of the immune system identify and destroy the affected cells. Cytotoxic T cells are very precise and efficient killers. They are able to destroy infected or cancerous cells, without destroying healthy cells surrounding them. The Wellcome Trust funded laboratory of Professor Gillian Griffiths, at the Cambridge Institute for Medical Research, investigates just how this is accomplished. By understanding how this works, we can develop ways to control killer cells. This will allow us to find ways to improve cancer therapies, and ameliorate autoimmune diseases caused when killer cells run amok and attack healthy cells in our bodies.""

Cytotoxic T cells are just 10 microns in length: approximately one-tenth the width of a human hair. These movies are 92 times real time.

The original footage shown was made by Alex Ritter, a PhD student on the NIH-OxCam programme, in the laboratory of Professor Gillian Griffiths at the Cambridge Institute for Medical Research and the Department of Medicine of the Clinical School of the University of Cambridge. The images were acquired using an Andor Revolution spinning disk system with an Olympus microscope. Professor Griffiths is a Wellcome Trust Principal Research Fellow.

Links for more information:

http://www.cimr.cam.ac.uk

http://www.cimr.cam.ac.uk/investigators/griffiths/index.html

http://www.immunology.cam.ac.uk/about

Music by Intercontinental Music Lab
http://www.intercontinentalmusiclab.com

Discover the latest research taking place at Cambridge and sign up to stay up to date with our films, podcasts, news and features.
https://www.cam.ac.uk/news
https://news.cam.ac.uk/p/6DCF-84G/subscribe-to-the-cambridge-digest",en,False,False,,
JE8p9mJH64g,"['tumor', 'vomiting', 'gastric cancer', 'Weight loss', 'cancer', 'Peritonitis', 'nausea', 'pain', 'Stomach Cancer', 'Nausea', 'stomach cancer', 'Abdominal pain']",12,Tratamiento cáncer,"Científico
",944,944,3486,Todos los Síntomas del Cáncer de Estómago,"En este video descubrirá  todos los síntomas que puede producir un cáncer de estómago (o cáncer gástrico) en la persona que lo padece. Desde las primeras etapas en las que el cáncer de estómago está localizado, hasta las fases más avanzadas en las que el tumor ya se ha escapado a través del peritoneo, de los vasos linfáticos, o de la sangre, y se ha ido a cualquier otro lugar del cuerpo.

0:00 Generalidades de los síntomas del cáncer de estómago
1:42 Dolor de barriga
2:35 Dificultad para tragar los alimentos y reflujo gastroesofágico
3:35 Náuseas y vómitos al comer
4:23 Saciedad precoz (nos llenamos muy pronto)
5:04 Adelgazar, perdiendo mucho peso
5:32 El estómago sangra: vómitos con sangre y heces negras
7:25 Peritonitis, diseminación del cáncer por la barriga y nódulos de la hermana María José (ombligo)
9:02 Aumento de la saciedad precoz y las náuseas y vómitos y dolor de espalda
10:32 Metástasis en el hígado
11:11 Metástasis en el cerebro
12:16 Metástasis en los pulmones

¡Vea otros videos que describen los síntomas de otros cánceres!:

Todos los síntomas del cáncer de ESÓFAGO: https://youtu.be/GIe4N7liGV8
Todos los síntomas del cáncer de HÍGADO: https://youtu.be/djJP3dxlPyU
Todos los síntomas del cáncer de PÁNCREAS: https://youtu.be/gS22DPkmHSs
Todos los síntomas del cáncer de PULMÓN: https://youtu.be/WL5g-ij_zj4
Todos los síntomas del cáncer de VULVA: https://youtu.be/PD3Z1BTlkxA
Todos los síntomas del cáncer de VAGINA: https://youtu.be/dWK7MvWmVpQ
Todos los síntomas del cáncer CERVICAL: https://youtu.be/a6XoEj--qaA
Todos los síntomas del cáncer UTERINO: https://youtu.be/sQ3VFw3VYJI
Todos los síntomas del cáncer de OVARIO: https://youtu.be/sdWxsPumHok
Todos los síntomas del cáncer de MAMA: https://youtu.be/FMJievqebmc

¿Quiere contactar conmigo? ¡Aquí me podrá encontrar!:
Mi página web: https://www.doctordanielgonzalez.com
La Medicinapedia®: https://www.medicinapedia.com

¿Quiere no perderse ningún vídeo como este y que le avisemos de la publicación de las novedades del canal? ¡Pues suscríbase y active los avisos en la campana!!:
http://www.youtube.com/user/drdanielgonzalez?sub_confirmation=1

#CáncerDeEstómago #síntomas #DoctorDanielGonzález",es,False,False,,
q5kOpvjhKAA,"['Cancer', 'brain cancer']",2,Tratamiento cáncer,"Irrelevante
",29,29,2058,Esta Niña Superó Así Su Cáncer ❤️🥺,"#shorts
🎥: veesol
Esta niña tenía cáncer de cerebro y el último día de tratamiento, los médicos del hospital decidieron prepararle una sorpresa para celebrarlo. La niña caminó por los pasillos del hospital viendo como todos los médicos la felicitaban por haber superado la enfermedad. Pero para terminar su ceremonia, le pusieron una última prueba final. y aunque ella intentó tocar la Campana no era capaz porque es muy pequeña, así que su padre le ayudó y entre los dos lo consiguieron. Si fue Dios quien la salvó, ¡Suscríbete! ❤️",es,False,False,,
NzxWjD-tdhU,"['hyperplasia', 'vitamins', 'Dysuria', 'cancer', 'hydronephrosis', 'lycopene', 'incontinence', 'urinary retention', 'CAN BE A', 'zinc', 'Green tea', 'prostate cancer', 'chronic renal failure', 'Nocturia', 'urinary incontinence', 'acute renal failure', 'prostate', 'pain', 'Constipation', 'inflammation', 'Prostatic hyperplasia', 'broccoli', 'prostate symptoms']",23,Tratamiento cáncer,"Pseudocientífico
",840,840,3742,¡Superalimentos para la próstata!,"¡URGENTE, TENER LA PRÓSTATA AGRANDADA PUEDE SER UN PELIGRO! Pero tenemos EXCELENTES NOTICIAS, los mejores consejos y alimentos para mejorar y reducir el tamaño la próstata agrandada están aquí. 

La hiperplasia de próstata o próstata grande causa síntomas de orinar mucho y con mucha frecuencia, orinar mucho de noche (nocturia), y en casos más graves puede provocar retención urinaria, insuficiencia renal aguda, insuficiencia renal crónica, hidronefrosis. 
Algunos pacientes pueden tener incontinencia urinaria, dolor y ardor al orinar. Estos mismos síntomas pueden también indicar cáncer de próstata. 

El peso normal de la próstata es de 20 a 25 gramos, pero a partir de los 50-60 años comienza a crecer y puede comprimir la uretra y la vejiga, causando todos estos síntomas. 

El mejor alimento para mejorar la salud de la próstata, reducirla de tamaño, mejorar la inflamación e incluso prevenir el cáncer de próstata es sin duda el tomate (tiene que estar cocinado) por ser muy rico en licopenos es considerado un superalimento para la próstata, con efectos sorprendentes. 

Otras formas naturales de mejorar los síntomas prostáticos son: vegetales crucíferos como el brócoli (un supervegetal para la próstata), la guayaba, pitanga, papaya. 

El té verde y el café son excelentes fuentes de vitaminas, minerales, antioxidantes y antiinflamatorios que mejorar la próstata y ayudan a prevenir el cáncer. Pero cuidado, porque pueden tener efecto diurético. 

El omega 3 de los pescados como el salmón también tiene muchos beneficios. 

La palta o aguacate también trae grandes efectos benéficos. 

Existen hiervas medicinales para la próstata, pero no son recomendados por los expertos en urología. 

¿La carne es buena o mala para la próstata?
Estudios mostraron que la carne roja aumenta el riesgo de cáncer, mientras que la carne con grasas buenas como el pescado de agua fría reduce el riesgo. 

Los mejores consejos para prevenir el cáncer de próstata es evitar alimentos y hábitos que aumenten la inflamación y la resistencia a la insulina, como las comidas procesadas, y comida chatarra, además de seguir un estilo de vida saludable. 

¿Cómo puedo orinar menos veces durante el día y de noche?
Existen formas de disminuir los síntomas de orinar muy frecuente también algunos ejercicios que podés hacer si tenes retención urinaria, te lo explico en detalles en el video. 

Algunos conceptos:
Nocturia o Nicturia es orinar mucho o muy frecuente de noche
Disuria es dolor o ardor al orinar
Hiperplasia de próstata es aumento del tamaño de la misma

Video con fines educativos, con información sobre medicina y salud. 

Contenido del video:
00:00 Síntomas de próstata grande y cáncer de próstata 
01:11 Síntomas graves y peligrosos: retención de orina, incontinencia e insuficiencia renal
01:46 Los mejores alimentos y ejercicios para la próstata
02:22 El alimento “TOP 1” para la próstata: el tomate 
04:27 ¡Mejores vegetales antioxidantes!: el brócoli reduce el tamaño de la próstata
05:08 ¡El té verde y el café son excelentes para la próstata y el cáncer!
06:44 Omega 3: ¡un sorprendente antiinflamatorio y antioxidante!
07:14 La carne roja es un PELIGRO para la próstata
07:57 Semillas y frutas con zinc para la próstata agrandada
08:14 Sorprendentes beneficios del aguacate (palta)
08:56 Hiervas medicinales para la próstata: ¿sirven o son peligrosas?
09:22 Alimentos peligrosos que pueden provocar cáncer de próstata
10:28 Como evitar orinar mucho y con mucha frecuencia 
11:59 Ejercicios para no orinar mucho de noche 
12:27 El estreñimiento aumenta la retención de orina 
12:45 Remedios MUY PELIGROSOS para la próstata 

¿De dónde saqué la información?
https://www.pcf.org/c/five-foods-to-protect-your-prostate/
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5380255/
https://www.healthline.com/health/enlarged-prostate-diet
https://www.mayoclinic.org/es-es/diseases-conditions/benign-prostatic-hyperplasia/expert-answers/enlarged-prostate-and-diet/faq-20322773
Libro: Burton-Freeman B, Reimers K. Tomato Consumption and Health: Emerging Benefits. American Journal of Lifestyle Medicine. 1-10, 2010

#prostatagrande #hiperplasiadeprostata #medicina #salud #drveller",es,False,False,,
h2rR77VsF5c,"['tumor', 'glioblastoma', 'https://shop.ed.ted.com/collections/ted-ed-book-recommendations/products/the-emperor-of-all-maladies-a-biography-of-cancer', 'cancer', 'Outis', 'TED']",6,Tratamiento cáncer,"Científico
",323,323,11813,Why is it so hard to cure cancer? - Kyuson Yun,"Download a free audiobook of ""The Emperor of All Maladies"" and support TED-Ed's nonprofit mission: http://adbl.co/2gauxND

--

We’ve harnessed electricity, sequenced the human genome, and eradicated smallpox. But after billions of dollars in research, we haven’t found a solution for a disease that affects more than 14 million people and their families at any given time. Why is it so difficult to cure cancer? Kyuson Yun explains the challenges. 

Lesson by Kyuson Yun, directed by Artrake Studio.

Check out our Patreon page: https://www.patreon.com/teded
View full lesson: https://ed.ted.com/lessons/why-is-it-so-hard-to-cure-cancer-kyuson-yun
Check out our full book recommendation: https://shop.ed.ted.com/collections/ted-ed-book-recommendations/products/the-emperor-of-all-maladies-a-biography-of-cancer

Thank you so much to our patrons for your support! Without you this video would not be possible.
Mukamik, Tushar Sharma, Dmitry Neverov, Mohammad Khory, Goh Xiang Ting Diana, Umar Farooq, Kevin Wong, Activated Classroom Teaching, Constantin Salagor, Daniel Mardale, Monica Grace Ward, Dawn Jordan, Yanira Santamaria, Prasanth Mathialagan, Savannah Scheelings, Yalda A., Susan Herder, Be Owusu, Samuel Doerle, David Rosario.",en,False,False,,
SGaQ0WwZ_0I,"['cancer', 'Cancer']",2,Tratamiento cáncer,"Científico
",305,305,4008,What Is Cancer? What Causes Cancer & How Is It Treated?,"What is cancer? Our experts answer this question, explain what causes cancer and share how cancer treatments work. See our updated video on this topic at https://youtu.be/_N1Sk3aiSCE.

Chapters
00:00 - Cancer Statistics
0:19 - What Is Cancer?
2:01 - Cancer Treatment
3:18 - Integrative Oncology",en,False,False,,
1MaGelzDJKU,"['UVA', 'calcium', 'melanomas', 'Vitamin\n\nVitamins', 'skin cancer', 'vitamin C', 'vitamin, vitamin D3', 'osteoporosis', 'cancer', 'UVB', 'fat-soluble vitamins']",11,Tratamiento cáncer,"Pseudocientífico
",622,622,11082,Episodio #1762 La Vitamina Más Anti-Cáncer,"Las vitaminas en general, son gratuitas, están en la Naturaleza. Basta con empeñarse en aprender en dónde se encuentran. 
 
Para obtener la ayuda de un Consultor Certificado en Metabolismo hable al 1-888-348-7352 o visítenos online en https://us.naturalslim.com/?utm_source=mtvyoutube&utm_medium=organic?el=youtube

En Puerto Rico hable 1-787-763-2527 o visítenos en http://www.naturalslimstore.com

En Europa +3120-2296-300 o visítenos en https://www.naturalslim.eu

En México hable al (55) 5256-1368

En República Dominicana envíe mensaje por Whatapps al 1-787-249-3198

En Panamá +507 396-6000

En Costa Rica (506)2430-2010

En Colombia al (57-1) 7020928

Subscríbete a Unimetab aquí y permite que Frank te lleve de la mano paso a paso: https://www.unimetab.com/

Subscríbete a MetabolismoTV en Messenger para acceso a educación exclusiva por Frank en el tema del metabolismo: https://www.messenger.com/t/MetabolismoTV/

Para hacer su prueba de metabolismo gratis haga click aquí: https://www.naturalslim.com/prueba-tu...

Para ordenar el libro en uno de los países listados abajo contacte a través de https://www.naturalslim.com a su distribuidor local quien le ayudará a obtenerlo. 

Descubre tu metabolismo junto con el autor Frank Suárez, especialista en Obesidad y Metabolismo, y escritor del Best-Seller ""El Poder del Metabolismo"", para que puedas adelgazar y mejorar tu salud.

Sigue a Frank y MetabolismoTV en Facebook aquí: https://www.facebook.com/MetabolismoTV/

Envíale un mensaje a Frank y al equipo de MetabolismoTV aquí: https://www.messenger.com/t/Metabolis...

Acceso a Libros Digitales con Membresia a www.MetabolismoVIP.com

La información que se brinda en MetabolismoTV® tiene un propósito puramente educacional. No pretendemos diagnosticar, curar o de alguna otra forma sustituir la ayuda profesional de su médico, nutricionista, dietista u otro profesional de la salud cualificado. Usted siempre debe consultar con su médico antes de empezar a hacer cualquier cambio en su dieta muy en especial si está recibiendo tratamiento médico o utiliza medicamentos recetados.

#Metabolismo #FrankSuarez #LaVerdadSiempreTriunfa #ElPoderdelMetabolismo  #MetabolismoTV",es,False,False,,
a0rbO3pnqDI,"['cancer', 'Cancer', 'Tumors']",3,Tratamiento cáncer,"Científico
",204,204,11290,'Tumors just vanished': Cancer patients now in remission after drug trial,"Treatment with the immunotherapy dostarlimab showed promising results in a small trial of more than a dozen rectal cancer patients, according to new research, but further study is needed and it is too early to call it a cure. CNN's Erin Burnett speaks to Dr. Andrea Cercek, an oncologist at Memorial Sloan Kettering Cancer Center.
  #erinburnettoutfront #CNN #News",en,False,False,,
PD3Z1BTlkxA,"['anxiety', 'cancers', 'tumor', 'cervical cancer', 'uterine cancer', 'vulvar cancer', 'breast cancer', 'ovarian cancer', 'Vulvar Cancer', 'infections', 'papillomavirus infection', 'bleeding', 'vaginal cancer', 'vulvar cancer symptoms', 'cancer', 'Vulvar cancer', 'Itching']",17,Tratamiento cáncer,"Científico
",663,663,698,Todos los Síntomas del Cáncer de Vulva,"El cáncer de vulva es un tumor de mujeres preferentemente añosas, aunque con el aumento de la infección por el virus del papiloma humano la edad media de su aparición está bajando. Produce mucha ansiedad cuando se piensa que se puede padecer. En este vídeo hablamos de todos los síntomas que puede producir el cáncer de vulva, para ayudar a disminuir esa ansiedad.

0:00 Cabecera y casos clínicos de ejemplo (2)
0:58 Síntomas del cáncer que no ha salido de la vulva
1:34 Picor en la vulva
2:08 Bulto palpable en zona genital
2:34 Sangrado escaso en la ropa interior
3:33 Infecciones urinarias repetidas
4:15 Síntomas del cáncer que ha salido de la vulva
5:02 Síntomas de metástasis linfáticas
6:00 Síntomas de metástasis a distancia (por la sangre)
6:39 Síntomas de metástasis en los pulmones
7:21 Síntomas de metástasis en el hígado
8:01 Síntomas de metástasis en los huesos
8:45 Resumen de síntomas del cáncer de vulva

¡Vea otros videos que describen los síntomas de otros cánceres!:
Síntomas del cáncer de mama: https://www.youtube.com/watch?v=FMJievqebmc&list=PLLV790IEIHkmW43V7uUbmgbR2PLFquMGD&index=1
Síntomas del cáncer de útero: https://www.youtube.com/watch?v=sQ3VFw3VYJI&list=PLLV790IEIHkmW43V7uUbmgbR2PLFquMGD&index=2
Síntomas del cáncer de cuello uterino: https://www.youtube.com/watch?v=a6XoEj--qaA&list=PLLV790IEIHkmW43V7uUbmgbR2PLFquMGD&index=3
Síntomas del cáncer de ovario: https://www.youtube.com/watch?v=sdWxsPumHok&list=PLLV790IEIHkmW43V7uUbmgbR2PLFquMGD&index=4
Síntomas del cáncer de vagina: https://www.youtube.com/watch?v=dWK7MvWmVpQ&list=PLLV790IEIHkmW43V7uUbmgbR2PLFquMGD&index=5

¿Quiere contactar conmigo? ¡Pues tengo página web!
http://www.doctordanielgonzalez.com

¿Le interesan los videos de salud, y concretamente, acerca de el cáncer y sus síntomas? ¿Quiere no perderse ningún vídeo como este y que le avisemos de la publicación de las novedades del canal? ¡Pues suscríbase y disfrútelo -es gratis-!:
http://www.youtube.com/user/drdanielgonzalez?sub_confirmation=1

#CáncerDeVulva #síntomas #DoctorDanielGonzález",es,False,False,,
sucj4qMtcgI,"['Obesity', 'cancer', 'Cancer']",3,Tratamiento cáncer,"Pseudocientífico
",712,712,6599,Episodio #1027 Se puede parar un cáncer,"En este episodio Frank explica cómo se puede detener el cáncer de manera natural.  
 

Para obtener la ayuda de un Consultor Certificado en Metabolismo hable al 1-888-348-7352 o visítenos online en https://us.naturalslim.com

En Puerto Rico hable 1-787-763-2527 o visítenos en http://www.naturalslimstore.com

En Europa +3120-2296-300 o visítenos en https://www.naturalslim.eu

En México hable al (55) 5256-1368

En República Dominicana envíe mensaje por Whatapps al 1-787-249-3198

En Panamá +507 396-6000

En Costa Rica (506)2430-2010

En Colombia al (57-1) 7020928

Subscríbete a Unimetab aquí y permite que Frank te lleve de la mano paso a paso: https://www.unimetab.com/

Subscríbete a MetabolismoTV en Messenger para acceso a educación exclusiva por Frank en el tema del metabolismo: https://www.messenger.com/t/MetabolismoTV/

Para hacer su prueba de metabolismo gratis haga click aquí: https://www.naturalslim.com/prueba-tu...

Para ordenar el libro en uno de los países listados abajo contacte a través de https://www.naturalslim.com a su distribuidor local quien le ayudará a obtenerlo. 

Descubre tu metabolismo junto con el autor Frank Suárez, especialista en Obesidad y Metabolismo, y escritor del Best-Seller ""El Poder del Metabolismo"", para que puedas adelgazar y mejorar tu salud.

Sigue a Frank y MetabolismoTV en Facebook aquí: https://www.facebook.com/MetabolismoTV/

Envíale un mensaje a Frank y al equipo de MetabolismoTV aquí: https://www.messenger.com/t/Metabolis...

Acceso a Libros Digitales con Membresia a www.MetabolismoVIP.com

La información que se brinda en MetabolismoTV® tiene un propósito puramente educacional. No pretendemos diagnosticar, curar o de alguna otra forma sustituir la ayuda profesional de su médico, nutricionista, dietista u otro profesional de la salud cualificado. Usted siempre debe consultar con su médico antes de empezar a hacer cualquier cambio en su dieta muy en especial si está recibiendo tratamiento médico o utiliza medicamentos recetados.

#Metabolismo #FrankSuarez #LaVerdadSiempreTriunfa #ElPoderdelMetabolismo  #MetabolismoTV",es,False,False,,
