,BC5CDR_Terms,BC5CDR_Count,Search_Term,Content_Classification,duration_seconds,duration_seconds,comment_count,video_title,video_description,detected_language,is_live_broadcast,is_archived_live,live_actual_start_time,live_actual_end_time
yyRwM0QqZCs,"['Kasiemobi', 'headaches', 'joint pain', 'constipation', 'insomnia', 'migraines', 'chronic pain', 'autoimmune disease']",8,Acupuntura,"Pseudocientífico
",777,777,16137,The Try Guys Try Acupuncture,"Behind The Try: A Try Guys Documentary is now streaming EVERYWHERE: https://tryguys.com/movie ! Watch #BehindTheTry today! 
•Available in the US on iTunes, Amazon, YouTube Movies, Google Play & Vudu. 
•Available WORLDWIDE on Veeps with exclusive access to the Red Carpet Premiere, Livestream Event (available only through March 18th 2021.) 
•View all watch options ➜  https://tryguys.com/movie 
─
...
We got our chi flowing and opened our third eyes with tiny little needles all over our bodies. Would you try acupuncture?

Check out our latest family merch drop, including a baby onesie, matching crewneck, mug, pillow and blanket at http://www.tryguys.com

Support us! http://www.patreon.com/tryguys. Join our Patreon to get videos a day early, plus, livestreams, chatrooms, BTS footage, exclusive merchandise, and more! 

SUBSCRIBE TO AND FOLLOW THE TRY GUYS 
http://www.youtube.com/c/tryguys
http://www.facebook.com/tryguys  
http://www.twitter.com/tryguys
https://www.instagram.com/tryguys

FOLLOW THE GUYS
http://www.Instagram.com/keithhabs
http://www.Instagram.com/nedfulmer
http://www.Instagram.com/korndiddy
http://www.instagram.com/eugeneleeyang
 
http://www.twitter.com/keithhabs
http://www.twitter.com/nedfulmer 
http://www.twitter.com/korndiddy
http://www.twitter.com/eugeneleeyang 

FEATURING
Robert Youngs
@YoungsHealth
http://www.robertyoungsacupuncture.com

EDITED BY
YB Chang
@xoybox

THE TRY GUYS
The #TryGuys is the flagship channel of 2ND TRY, LLC.  Tune in twice a week for shows from Keith, Ned, Zach and Eugene, the creators and stars of The Try Guys.

MUSIC
Licensed from AudioNetwork

SFX
Licensed from Audioblocks

VIDEO
Licensed from Videoblocks

Official Try Guys Photos 
By Mandee Johnson Photography | @mandeephoto

2nd Try, LLC STAFF
Executive Producer - Keith Habersberger
Executive Producer - Ned Fulmer
Executive Producer - Zach Kornfeld
Executive Producer - Eugene Lee Yang
Producer - Rachel Ann Cole
Producer - Nick Rufca
Production Manager - Alexandria Herring
Editor - Devlin McCluskey
Editor - YB Chang
Editor - Elliot Dickerhoof
Assistant Editor - Will Witwer
Social Media Manager - Allison Bagg
Assistant Production Coordinator - Kasiemobi Udo-okoye
Assistant Production Coordinator - Miles Bonsignore
Production Assistant: Sam Johnson",en,False,False,,
b444pexv8to,['Audioblocks.com'],1,Acupuntura,"Pseudocientífico
",177,177,3171,People Try Acupuncture Therapy • The Test Friends,"Try not to squirm.

Check out more awesome videos at BuzzFeedVideo!
http://bit.ly/YTbuzzfeedvideo

MUSIC
Easy As Life
One Of A Kind
Brothers And Friends
Licensed via Warner Chappell Production Music Inc. 

SFX provided by Audioblocks. 
(https://www.Audioblocks.com)

Made by BFMP www.buzzfeed.com/videoteam
+
Carine Camara, MS
www.healthacumulates.com

GET MORE BUZZFEED:
www.buzzfeed.com/videoteam
www.facebook.com/buzzfeedvideo
www.instagram.com/buzzfeedvideo
www.buzzfeed.com/video
www.youtube.com/buzzfeedvideo
www.youtube.com/buzzfeedyellow
www.youtube.com/buzzfeedblue
www.youtube.com/buzzfeedviolet

BUZZFEED VIDEO
BuzzFeed Motion Picture’s flagship channel. Sometimes funny, sometimes serious, always shareable. New videos posted daily! Subscribe to BuzzFeedVideo today! http://bit.ly/YTbuzzfeedvideo",en,False,False,,
hP_KmiLHMWA,"['TruthorDrink', 'PLJic7bfGlo3pLt0gnzNFFJHJGm-C0yKvA']",2,Acupuntura,"Irrelevante
",406,406,5571,People Get Acupuncture in Slow Motion | First Takes | Cut,"Watch More First Takes: https://www.youtube.com/watch?v=7mXkVvc-sF8&list=PLJic7bfGlo3pLt0gnzNFFJHJGm-C0yKvA

About First Takes:
First timers face shocking new experiences at 1000 frames per second.

One-click YT subscribe: https://bit.ly/CutSubscribe

✨ Keep up with us! ✨
- Official Site | https://cut.com
- Instagram | https://cut.com/ig
- TikTok | https://cut.com/tiktok
- Facebook | https://cut.com/facebook 
- Twitter | https://twitter.com/cut
- Snapchat | @watchcut 

About Cut: 
Small questions have powerful effects when they go viral. Cut spreads stories for fun, for serious, and for real – bringing the internet together one awkward moment at a time.

Produced, directed, and edited by Cut.
Want to work with us? https://cut.com/jobs 
Want to be in a video? https://cut.com/casting 
Want to sponsor a video? https://cut.com/sponsorship

People Get Acupuncture in Slow Motion | First Takes | Cut
https://www.youtube.com/watch?v=hP_KmiLHMWA

Cut
https://www.youtube.com/watchcut",en,False,False,,
ngK3bzOw7_4,"['HiHo', 'Hiho']",2,Acupuntura,"Pseudocientífico
",356,356,1351,Kids Meet an Acupuncturist | Kids Meet | HiHo Kids,"Sponsor this series: http://www.cut.com/sponsorship
Come play with us!
Sign up at http://bitly.com/hihofans to get updates on HiHo, special offers, and exclusive behind-the-scenes content with your favorite kids.
SUBSCRIBE to HiHo Kids: http://bit.ly/HiHoYouTube

Watch More Kids Meet: https://www.youtube.com/playlist?list=PL2etPlnTb9sXwY7EgbEdYcfpl4SOeek3_

About Kids Meet:
Curious kids meet--and interview--people with particular points of view.

Don't forget to subscribe and follow us!
Facebook- http://www.facebook.com/hihokids
YouTube- http://www.youtube.com/hihokids
Get HiHo swag here: http://bit.ly/BuyCut

About HiHo Kids:
Every kid – including the one inside each of us – needs imagination and curiosity about the world. Hiho promotes empathy through play.

Send HiHo Kids things to unbox: 
PO Box 19604, Seattle WA 98109

Stay updated by signing up to our email list @ bit.ly/ytJoinTheFamily 
For licensing inquiries: http://cut.com/licensing
Want to work with us? http://cut.com/hiring
Want to be in a video? http://cut.com/casting

Want to sponsor a video? http://cut.com/sponsorships
Love HiHo? Fill out this form for exclusive updates: http://cut.com/fanform

Divertissement Kevin MacLeod (incompetech.com)
Licensed under Creative Commons: By Attribution 3.0
http://creativecommons.org/licenses/by/3.0/

Kids Meet an Acupuncturist | Kids Meet | HiHo Kids
https://youtu.be/ngK3bzOw7_4

#HiHoKids #KidsMeet #Kids

HiHo Kids
https://www.youtube.com/hihokids",en,False,False,,
2hrZ-rHzr8U,"['headaches', 'acne']",2,Acupuntura,"Pseudocientífico
",1454,1454,507,【ASMR】美肌になるための美容鍼マッサージ(渡辺真弓さんが体験),"皆さんこんにちは！今回の動画は、スキンケアのためのASMR鍼治療・マッサージの様子をお届けします！モデルはプレミアムバーバーの理容師：渡辺真弓さん。
渡辺さんはニキビや目の下のクマ、(それと出来ればほうれい線対策)、肩こりと頭痛というお身体のお悩みをお持ちで、藤原さんに相談されました。
藤原さんは鍼灸あんまマッサージ指圧師でアスレティックトレーナーとしてもご活躍されている先生で、昨年のバチェラー４にご参加されたので、ご存じの方も多いかと思います。
鍼というと痛い！と思われる方も多いですが、藤原先生の鍼は過剰な刺激を押さえた優しい鍼で、しかししっかりとクライアントの要望には応える施術です。ご使用されている鍼は髪の毛程度の細さの鍼で、全て使い捨てなので、初めての方でも安心して施術を受けれると思います。
それと藤原さんの「てい鍼（TSTてい鍼美容術)」の手際の素晴らしさは必見！渡辺さんも「凄く気持ち良かった！」と大絶賛されてました。

◆藤原望未（ふじはらのぞみ）
鍼灸あんまマッサージ指圧師、日本スポーツ協会公認アスレティックトレーナーとしてもご活躍し、2022年に渋谷・恵比寿エリアにAmalieをオープン。タレントとしてもご活躍されており、近年は北青山の美容院「Ms.CHARM」のプロデュースも。

◆Nozomi Fujihara's Instagram
https://www.instagram.com/nozo.mi74/
◆Nozomi Fujihara's Youtube Channel
@nonchan1130 

00:00 プレビュー
01:36 カウンセリング
02:57 背面(首・背中)の施術
07:13 TSTテイ鍼
07:41 腹部を施術
09:04 お顔のチェック
10:18 肩・首のマッサージ
12:15 お顔・首にテイ鍼
17:00 顔鍼
22:58 頭部の整え

TOKYO ASMR MASSAGE
📺週2～3回・夜11：00更新
📺Updated 2-3times a week at 11:00 p.m(Japan time)
◆Instagram
https://www.instagram.com/tokyoasmrmassage/

#asmr #マッサージ #スキンケア",ja,True,True,2022-10-23T14:00:09Z,2022-10-23T14:25:19Z
BWIw6h3Aae8,['pain'],1,Acupuntura,"Irrelevante
",38,38,806,Alívio imediato para tensão no pescoço e ombro!,"💆‍♂️ Descubra como liberar um dos músculos mais tensos do corpo: o elevador da escápula. 👇

👉 Passo a passo fácil e rápido:
1️⃣ Posicione a mão atrás, abraçando o bíceps.
2️⃣ Incline a cabeça para o lado.
3️⃣ Encontre o ponto na fossa supraespinhal e deslize até o pescoço!

🔥 Adeus tensão, olá relaxamento! Teste essa técnica e sinta a diferença. 👌

➡️ Salve e compartilhe para lembrar sempre! 🧘‍♂️

👉 Quer mais exercícios para o alívio da dor no ombro? Inscreva-se no canal e clique no vídeo relacionado!

#DorNoOmbro #MobilidadeNosOmbros #ExercícioParaOmbros #FortalecimentoDoOmbro #PosturaSaudável #shortvideo #ExercícioSeguro",pt,False,False,,
ClaRADHcJ9I,"['cough', 'phlegm', 'dry cough']",3,Acupuntura,"Pseudocientífico
",552,552,873,ACUPRESIÓN PARA ALIVIAR LA TOS SECA,"Conoce esta maravillosa terapia de acupresión donde te muestro los puntos que te ayudarán a calmar la tos seca. 

#TosSeca #Acupresion #TomaTuSpa

La acupresión es una terapia milenaria basada en los meridianos energéticos de la medicina tradicional china.

ESTE VIDEO FUE REALIZADO CON UN PROPÓSITO INFORMATIVO Y EDUCATIVO BAJO LOS LINEAMIENTOS Y NORMAS DE LA COMUNIDAD DE YOUTUBE.

IMPORTANTE:
La información de este video no reemplaza el diagnóstico personalizado de un especialista de la salud, ni sustituye su tratamiento. Nunca dejes de consultar a tu médico para la supervisión de cualquier padecimiento o enfermedad, es el médico el que tiene la autoridad en materia de salud.

Más videos de acupresión: 
https://www.youtube.com/watch?v=vrDV-AzfiJE&list=PLlm-LR3c4hwhncvB059pCU8ZiHk32J6R7

Video con los puntos para la tos con flemas:
https://youtu.be/I43adaZqs4s

No te pierdas ninguno de mis videos...

POR FAVOR SUSCRÍBETE: https://www.youtube.com/c/TomatuSPAmx

REGALAME UN LIKE EN FACEBOOK : https://www.facebook.com/TomatuSpa

SÍGUEME EN TWITTER:
 https://www.twitter.com/Karlishya

MÁNDAME UN CORREO:
tomatuspafans@outlook.com

Comparte!! Déjame tus comentarios, opiniones, preguntas o sugerencias.

Musica:

""These Moments""

By: @nicolai-heidlas

https://soundcloud.com/nicolai-heidlas

¡ GRACIAS POR VER EL VIDEO !

#TomaTuSpa",es,False,False,,
yVeBcle9D8I,['constipation'],1,Acupuntura,"Pseudocientífico
",746,746,3971,Use pontos de ACUPUNTURA para soltar INTESTINO PRESO | Peter Liu,"🌿 Os suplementos que eu uso e recomendo: https://www.doctorspharmacy.com.br/formulas-exclusivas/dr--peter-liu Esse vídeo eu vou ensinar você como resolver o intestino preso usando apenas os pontos da acupuntura e literalmente usando seu dedo! Assiste esse vídeo, melhora seu intestino, melhora sua vida! 

👍Suplementos para seu intestino: 
▶Magnésio padrão ouro: http://bit.ly/3qfirst
▶Omega 3 Ultra concentração:  http://bit.ly/3qfirst
▶Coenzima Q10 de Doctors First:   http://bit.ly/3qfirst
▶Curcuma + Pimenta preta  https://amzn.to/3ea74EB
▶Os pobióticos: Alternar  cada dia um tipo diferente durante um mês 
▶Puritans 20 Bilhçoes  https://amzn.to/2X1sP42
▶Nutrition Now Vitamins  PB 8 https://amzn.to/2TzbVHO
▶NOW probiótico 10, 25 bilhões  https://amzn.to/36pXfzM
▶Vitafor  Simfort  https://amzn.to/3cZZXi3

👍Meus Suplementos: https://bit.ly/34AowPD
 

#IntestinoPreso #Acupuntura

-------------------------------------------------------------------------------------------------------------
👍Meus Suplementos: https://bit.ly/34AowPD
🚩Inscreva-se no meu curso de Leitura Facial : https://bit.ly/2WWkkGU
----------------------------------------------------------------------------------------------------------------------------------------
✅ INSCREVER NO CANAL - https://bit.ly/canalPeterLiu
✅ SEGUE NO INSTAGRAM - https://bit.ly/Instagram_PeterLiu
✅ SITE - https://www.peterliu.com.br
✅ FACEBOOK - https://www.facebook.com/saudezen
✅ AGENDA CONSULTAS - WhatsApp (19) 98410-6241 https://bit.ly/Consulta_PeterLiu
✅ Cursos: Leitura Facial – https://bit.ly/2WWkkGU

----------------------------------------------------------------------------------------------------------------------------------------
🔵 SIGA MINHAS PRINCIPAIS PLAYLISTS
▶️MEUS MELHORES VÍDEOS https://bit.ly/38r0KqY
▶️MEUS SUPLEMENTOS https://bit.ly/3eWl1ah
▶️ESPIRITUALIDADE & REFLEXÕES https://bit.ly/3grU8Lw
▶️DICAS DE BELEZA https://bit.ly/38wEP1v

----------------------------------------------------------------------------------------------------------------------------------------
DESENCARGO DE RESPONSABILIDADE:

As informações fornecidas neste canal possuem caráter unicamente educativo, não pretendendo substituir a consulta aos profissionais competentes, e nem servir como recomendações para quaisquer protocolos de tratamento de uma ou mais condições de saúde.

Cabe destacar que, apesar do fato dos remédios, suplementos, conselhos e receitas apresentados neste canal serem naturais em sua maioria, não significa que não possam ocasionar efeitos secundários em algumas pessoas, dado que cada organismo é distinto e o que pode funcionar em um pode não funcionar em outro. Em caso de dúvidas, procure seu médico.
----------------------------------------------------------------------------------------------------------------------------------------
👋Olá,

Sou  Peter Liu,  terapeuta holística em acupuntura e medicina chinesa e tenho uma clínica de acupuntura em Campinas, interior de São Paulo. 

No meu canal tenho milhares de vídeos para você poder compartilhar com seus amigos e familiares para que tenham uma qualidade de vida e a saúde melhorada. 

✔Eu tenho um curso de Leitura Facial On-Line que está disponível no meu site oficial: https://www.peterliu.com.br 

✔Quem quiser fazer este curso basta acessar o site ou entrar em contato usando o WhatsApp no número (19) 984106241 ou (019) 3305-6000",pt,False,False,,
eXZGIoZokJE,"['inflammation', 'pain', 'Pain', 'http://bit.ly/2betS7c', 'Acupuncture', 'pains', 'depression']",7,Acupuntura,"Científico
",240,240,1640,Does Acupuncture Even Work?,"Many people rave about the benefits of acupuncture but does it actually cure anything? What if it's just the placebo effect at work?

What Is Homeopathy And Is It Real Science? - http://bit.ly/2betS7c
Sign Up For The Seeker Newsletter Here - http://bit.ly/1UO1PxI

Read More:

Acupuncture -- A Critical Analysis
http://www.ncbi.nlm.nih.gov/pubmed/16420542
""Even though widely used in today's clinical practice, acupuncture has remained a controversial subject. Many reviews are currently available but most lack a critical stance and some are overtly promotional. The aim of this overview is to provide a balanced, critical analysis of the existing evidence.""

Acupuncture: Does It Alleviate Pain And Are There Serious Risks? A Review Of Reviews
http://www.ncbi.nlm.nih.gov/pubmed/21440191
""Acupuncture is commonly used for pain control, but doubts about its effectiveness and safety remain. This review was aimed at critically evaluating systematic reviews of acupuncture as a treatment of pain and at summarizing reports of serious adverse effects published since 2000. Literature searches were carried out in 11 databases without language restrictions. Systematic reviews were considered for the evaluation of effectiveness and case series or case reports for summarizing adverse events.""

5 Scientists Weigh In On Acupuncture
http://www.scientificamerican.com/article/5-scientists-weigh-in-on-acupuncture/
""Millions of Americans turn to acupuncture each year to treat chronic pains and even depression. Recently, researchers at Rutgers University reported that combining the acupuncturist's needle with an electric current could yield a new treatment for severe inflammation. Yet many scientists look skeptically at the practice.""

____________________

DNews is dedicated to satisfying your curiosity and to bringing you mind-bending stories & perspectives you won't find anywhere else! New videos daily. 

Watch More DNews on Seeker http://www.seeker.com/show/dnews/

Subscribe now! http://www.youtube.com/subscription_center?add_user=dnewschannel

DNews on Twitter http://twitter.com/dnews

Trace Dominguez on Twitter https://twitter.com/tracedominguez

DNews on Facebook https://facebook.com/DiscoveryNews

DNews on Google+ http://gplus.to/dnews

Discovery News http://discoverynews.com

Sign Up For The Seeker Newsletter Here: http://bit.ly/1UO1PxI 

Special Thanks to Julian Huguet for hosting DNews!
Check Julian out on Twitter: https://twitter.com/jhug00",en,False,False,,
i1MIfTcBZ2I,['pain'],1,Acupuntura,"Pseudocientífico
",338,338,375,I Tried This Intense Acupuncture Facial | Beauty With Mi | Refinery29,"This week on Beauty With Mi, our host, Mi-Anne Chan undergoes an acupuncture facial. The ancient Chinese medicine technique has been incorporated into a beauty facial treatment alongside the use of the contouring Gua Sha tool. Press play on this episode of Beauty With MI, to see how this amazing treatment works! 

http://lanshin.com/

ABOUT SERIES
Explore the craziest trends, most unique treatments, newest products, and strangest subcultures in the beauty world alongside Refinery29’s very own beauty writer, Mi-Anne Chan. We dare to find and try the fringes of beauty — for better or worse.

ABOUT REFINERY29 
Refinery29 is a modern woman's destination for how to live a stylish, well-rounded life. http://refinery29.com/

RELATED CONTENT
I Tried This Insane Bubble Facial
https://youtube.com/watch?v=KJhvxIkW4nY
I Dyed My Virgin Hair For The First Time
https://youtube.com/watch?v=_GcsQuOGPPk
I Tried This Terrifying Facial 
https://youtube.com/watch?v=kUSFXFYEXa8

SEE MORE REFINERY29 VIDEOS
http://refinery29.com/video

SUBSCRIBE TO REFINERY29
Subscribe to the Refinery29 channel: http://bit.ly/subscribe-to-r29
For the latest trends and videos, visit: http://refinery29.com
Like Refinery29 on Facebook: https://facebook.com/refinery29
Follow Refinery29 on Twitter: https://twitter.com/refinery29
Heart Refinery29 on Instagram: https://instagram.com/refinery29/

TALENT
Follow Lanshin on Instagram: https://instagram.com/treatmentbylanshin/
Follow Mi-Anne Chan on Instagram: https://instagram.com/mianne.chan/",en,False,False,,
