,BC5CDR_Terms,BC5CDR_Count,Search_Term,Content_Classification,duration_seconds,duration_seconds,comment_count,video_title,video_description,detected_language,is_live_broadcast,is_archived_live,live_actual_start_time,live_actual_end_time
Mm1-NuVu6B0,[],0,Flores de Bach,"Irrelevante
",148,148,0,I Fiori di Bach GUNA,Interviste a cura di Luca Yuri Toselli - Tessera O.d.G. n° 115320,it,False,False,,
B6hDUf7zzO8,[],0,Flores de Bach,"Pseudocientífico
",212,212,162,How to Use Bach Flower Remedies,"How to use Healing Herbs Bach Flower Remedies to heal physical and emotional symptoms. Bach Flower expert Julian Barnard talks about prescribing using Bach's Twelve Healers, Seven Helpers and Second Nineteen, how make a dosage bottle, how to choose a remedy and use combination remedies and five flower cream.

For more information about Bach Flower Remedies and their uses visit: http://www.healingherbs.co.uk",en,False,False,,
vCeU7_YiF-g,[],0,Flores de Bach,"Pseudocientífico
",203,203,3,Las flores de Bach - ¿Cómo se hacen y para qué sirven?,"José Salmerón, uno de los expertos en Flores de Bach con mayor reputación en España, explica qué son las Flores de Bach, unas flores terapéuticas elaboradas de forma artesanal en el Centro Edward Bach de Madrid.

Son fundamentales para realizar tratamientos florales, y gracias a ellas tu salud mejorará.

Suscríbete al canal de Centro Edward Bach:
http://www.youtube.com/c/JoseSalmeronPascualfloresdebach

Comprar flores de bach
http://www.esenciasdebach.com

Visita nuestras webs:
http://www.centroedwardbach.com

Síguenos en Facebook:
https://www.facebook.com/Esenciasdebachcom/

Síguenos en Twitter:
https://twitter.com/esenciasdebach",es,False,False,,
ngoj3IEZR7M,[],0,Flores de Bach,"Pseudocientífico
",125,125,23,Bach Rescue Remedy Review with Kim at LuckyVitamin : Lucky Picks,"Kim's Lucky Pick for you is Bach Rescue Remedy.

Find it here: http://luckyv.it/2gkto2h

Bach Original Flower Remedies Rescue Remedy helps produce positive, calming, stabilizing effects in a wide range of stressful situations. In the early 1930s the noted British physician Dr. Edward Bach discovered that patient stress, if left unresolved, inevitably leads to physical disorder. Determined to avoid the use of harmful medications, Bach searched for and found a safe, gently, and effective way to relieve stress.

About The Series:
Check out our staff review their favorite items here from LuckyVitamin. We love them, and we hope you love them too!

About LuckyVitamin:
For those leading active, healthful lives, LuckyVitamin is the inspirational and supportive source for products and knowledge dedicated to helping everyone on their journey towards happy wellness. Visit http://luckyv.it/29kevwh  (LuckyVitamin.com) to learn about healthy living and shop thousands of health and wellness products at great prices.",en,False,False,,
ETIuzE9Puq8,[],0,Flores de Bach,"Pseudocientífico
",147,147,0,FLORES DE BACH Artesanales. www.esenciasdebach.com,"http://www.centroedwardbach.com
Información sobre nuestro kit de 38 flores de bach y dos remedios de rescate.",es,False,False,,
RZev2DZ5ODE,"['attention deficit hyperactivity disorder', 'pain']",2,Flores de Bach,"Científico
",789,789,508,FLORAIS DE BACH são mesmo o que dizem?,"00:00 - Introdução 
00:40 - Pra que servem os florais de Bach?
01:03 - O que são florais de Bach?
03:52 - Como Bach inventou os florais?
05:18 - Florais de Bach são fitoterápicos? 
06:29 - Quais as evidências cientificas dos florais de Bach?
09:12 - Resumo: florais de Bach são eficazes?
09:53 - Florais de Bach fazem parte da indústria?
11:07 - Procure ajuda
#florais #floraisdebach #essenciasflorais

Roteiro base: Lucas Rosa
Roteiro final: Laura Marise
Produção: Laura Marise
Edição: Laís Maurelli
Design da miniatura: Andre Charneski

Acompanhe o NV1C nas redes:
instagram.com/nuncavi1cientista
tiktok.com/@nuncavi1cientista
twitter.com/_NV1C

Livro Super-Heróis da Ciência:
https://amzn.to/3qZRtxm

Apoie este canal!
programa de membros: 
https://bit.ly/3zwlny9
chave Pix:
nuncavi1cientista@gmail.com 

Quer mandar coisinhas pra gente?
Caixa postal: 77785
CEP: 05593-970

Referências:
Uso dos florais: https://bit.ly/3Tbyt10
Preparo da Tintura-mãe: https://bit.ly/41oN4s1 
Revisões sistemáticas
- Ernst E. ""Flower remedies"": a systematic review of the clinical evidence. Wien Klin Wochenschr. 2002 Dec 30;114(23-24):963-6. 
- Thaler K, et al. Bach Flower Remedies for psychological problems and pain: a systematic review. BMC Complement Altern Med. 2009 May 26;9:16. doi: 10.1186/1472-6882-9-16. 
- Ernst E. Bach flower remedies: a systematic review of randomised clinical trials. Swiss Med Wkly. 2010 Aug 24;140:w13079. doi: 10.4414/smw.2010.13079. 
- De Oliveira, FN, et al. Use of Bach flower remedies in children and adolescents with attention deficit hyperactivity disorder: Systematic review and meta-analysis. Adv Int Med, 2023. doi: 10.1016/j.aimed.2023.07.001
Valor de mercado: https://bit.ly/46JNqub 


Este canal faz parte do Science Vlogs Brasil, um selo de qualidade colaborativo que reúne divulgadores de
ciência confiáveis do Youtube Brasil. Conheça todos os canais #SVBR em youtube.com/sciencevlogsbrasil
#svbroficial
#sciencevlogsbrasil
#sciencevlogs

Investigations e Hackbeat de Kevin MacLeod é licenciada de acordo com a licença Atribuição 4.0 da Creative Commons. https://creativecommons.org/licenses/by/4.0/
Fonte: http://incompetech.com/music/royalty-free/index.html?isrc=USUAN1100646
Fonte: http://incompetech.com/music/royalty-free/index.html?isrc=USUAN1100805
Artista: http://incompetech.com/",pt,False,False,,
HuBRFPuWfsI,['Televisión'],1,Flores de Bach,"Pseudocientífico
",56,56,2,Terapia con Flores de Bach - Reportaje en Televisión Española (TVE),"Entrevista en Televisión Española al director del Centro Edward Bach (http://www.centroedwardbach.com) José Salmerón y a Laura Ferrié, terapeuta del centro especializada en la elaboración de las flores de bach y su aplicación como flores terapéuticas y elaboradas de forma totalmente artesanal por el Centro Edward Bach.

Suscríbete al canal de Centro Edward Bach:
http://www.youtube.com/c/JoseSalmeronPascualfloresdebach

Comprar flores de bach
http://www.esenciasdebach.com

Visita nuestras webs:
http://www.centroedwardbach.com

Síguenos en Facebook:
https://www.facebook.com/Esenciasdebachcom/

Síguenos en Twitter:
https://twitter.com/esenciasdebach",es,False,False,,
hVeHDeH8ZRM,[],0,Flores de Bach,"Pseudocientífico
",340,340,21,Posologie fleurs de Bach,"Comment préparer vous-même votre mélange de fleurs de Bach à partir des flacons unitaires.
https://youtu.be/hVeHDeH8ZRM
Plus d'informations : www.meditenfleurs.com",fr,False,False,,
u9bnBFegTpI,['Mudras'],1,Flores de Bach,"Pseudocientífico
",601,601,86,Bach Flower Remedies | Mudras and Mantras for Study Concentration | Reeya's Spiritual Remedies,"Bach Flower Remedies | Mudras and Mantras for Study Concentration | Reeya's Spiritual Remedies

#bachflowerremedy #concentration #reeyasspiritualremedies

!----------------------------------------!

Our Website: https://www.reeyasspiritualremedies.co.in/

!----------------------------------------!

Our Popular Videos:

➮ https://www.youtube.com/watch?v=_ObN4R4v5gA

➮ https://www.youtube.com/watch?v=5zrbXxj6pOI

➮ https://www.youtube.com/watch?v=Gseyj54tKWQ

!----------------------------------------!

Connect with us:

➮ Call us/Whatsapp: +91 8756920043

➮ Email: reeya2007@gmail.com

➮ Facebook: https://www.facebook.com/reeeyasspiritualremedies/

➮ Instagram: https://www.instagram.com/reeyasspiritualremedies/

!----------------------------------------!

Don’t forget to Subscribe our Channel:
https://www.youtube.com/c/ReeyaSingharakarafashions/featured

THANKS FOR WATCHING 😊",en,False,False,,
idFt7iCgv3w,"['fatigue', 'apathy', 'hypersensitivity']",3,Flores de Bach,"Pseudocientífico
",771,771,0,¿Cómo saber qué Flores de Bach necesito?,"¿Cómo saber qué Flores de Bach necesito? Ma. Carmen Gallego, especialista en Flores de Bach, nos explica cómo debemos elegir la flor adecuada para cada uno, dependiendo de la situación emocional en la que nos encontremos. 

A lo largo de los años pasamos por distintas etapas, en las que nuestra situación emocional cambia dependiendo de varios factores, entre ellos, el ambiente en el que estamos inmersos. Elegir la flor adecuada a nuestro estado de ánimo nos ayudará a hacer frente y gestionar esas emociones de la mejor manera. 

Si nos encontramos en una etapa de incertidumbre, deberemos identificar si esa incertidumbre aparece cuando necesitamos la aprobación de los demás y damos menos valor a nuestra propia opinión. En ese caso, podremos recurrir a la ayuda de la Flor de Bach Cerato, que nos ayudará a gestionar esas emociones. 

Si debo elegir entre dos opciones y estamos indecisos, aparecen emociones que debo manejar a la hora de dar un cambio. La Flor de Bach Wild Oat puede ser la que nos ayude a gestionarlas y abordarlas de la mejor manera. 

Emociones asociadas a la falta de interés. Si esa pérdida de interés tiene relación con el sentido de la vida, el interés hacia ella o si lo que me rodea no me llena o no me satisface, deberemos entender e identificar si estamos tratando de evadirnos a un mundo de ensoñación y fantasía en la que llegamos a perder la concentración ya que no tenemos interés en lo  que nos rodea. Para esas emociones que aparecen cuando pierdo la concentración, porque pierdo este interés en mi entorno, en el aquí en el ahora, y me refugio en mi mundo de ensoñación, podemos obtener la ayuda de la Flor de Bach Clematis que nos ayudará a gestionar mejor esos estados. 

En otro caso parecido, puede que no tenga interés en el aquí y ahora, porque vivo en el pasado. Nos podemos ver anclados en el pasado, rememorando lo que vivimos y pensando en que ya nada volverá a ser como antes. Si nos cuesta gestionar esas emociones que nos impiden vivir porque estamos atrapados en aquello que fue, la Flor de Bach Honeysuckle es una flor que nos puede ayudar a gestionarlo.

Para gestionar esas emociones derivadas de la apatía, podemos recurrir a la ayuda de la Flor de Bach Wild Rose, que nos permitirá encontrar ese impulso para interesarnos por aquello que nos rodea. 

Hay veces que podemos llegar a perder el interés por simple cansancio. En ese caso, el agotamiento no permite gestionar esas emociones. Olive es la Flor de Bach que nos ayudará a gestionarlo de la mejor manera. 

En cuanto a las emociones que se asocian a la sensibilidad o hipersensibilidad, sentirse hipersensible puede provocar un sentimiento de vulnerabilidad. La flor de Walnut nos puede ayudar a gestionar esas emociones en las que, por hipersensibilidad, me dejo llevar o condicionar por los demás.

La flor de Bach Centaury nos ayudará a gestionar las emociones que proceden de los límites. Esas emociones que nos aparecen cuando no sabemos manejar el exceso de complacencia y acabamos cediendo a lo que quieren los demás. 

Si estamos viviendo una etapa de tristeza, dada porque he tenido una situación dolorosa o porque estoy sufriendo, tenemos la Flor de Bach Estrella de Belén. Nos ayudará a gestionar mejor esas situaciones dolorosas o situaciones que nos han impactado. 

Tenemos la suerte de contar con 38 Flores de Bach distintas, que nos permitirán abordar 38 estados emocionales. Siempre insistimos en que es muy importante saber identificar la emoción que estamos viviendo para elegir la flor adecuada. 

Os invitamos a probarlas, las Flores de Bach te ayudarán a conseguir gestionar de la mejor manera esas emociones del día a día, logrando una vida más plena y armoniosa.

Para más información, visita el sitio web oficial: 
https://www.bachoriginal.com/es-es/

#floresdebach #gestionemociones #bienestaremocional #gestionemocional",es,False,False,,
