,BC5CDR_Terms,BC5CDR_Count,Search_Term,Content_Classification,duration_seconds,duration_seconds,comment_count,video_title,video_description,detected_language,is_live_broadcast,is_archived_live,live_actual_start_time,live_actual_end_time
MgNLA-_09aM,[],0,Magnetoterapia,"Pseudocientífico
",373,373,1862,MITOS MAGNÉTICOS,"¿Qué efectos tienen los imanes en el cuerpo?¿Se puede curar con ellos? Aclaremos algunas ideas equivocadas en este nuevo video de mitos.

**********************************************************************
¡YA ESTÁ DISPONIBLE MI LIBRO EN MÉXICO!
Pueden empezar a precomprar el libro en la tienda online de Tienda Tech MX http://bit.ly/saborcosmicomx con varias formas de pago. Para cualquier duda en la compra pueden contactar a: 
Correo electronico: contacto@tiendatech.mx
Teléfono -sólo de 9am a 3pm y de 4pm a 6pm- : 01(55) 7090 1426
Chat online de la tienda: http://bit.ly/saborcosmicomx
Redes sociales oficiales:
https://www.facebook.com/tiendatechmx/
https://twitter.com/tiendatechmx_
Algunas preguntas frecuentes https://tiendatech.mx/preguntas-frecuentes

***********************************************************
Si quieres contribuir con el financiamiento de más videos como estos puedes hacerlo en nuestra cuenta de Patreon 

https://www.patreon.com/robotitus

o a través de Paypal a aldo.bartra003@gmail.com

**********************************************************************
El Robot de Platón

Facebook: https://www.facebook.com/ElRobotdePlaton?fref=nf
Twitter: https://twitter.com/Fantastiqvs
Instagram: https://instagram.com/aldouscaldous/
Para consultas empresariales escribir a: elrobotdeplaton@gmail.com

*********************************************************************
Fuentes y enlaces para saber más

¿Funciona la terapia magnética?
https://www.livescience.com/40174-magnetic-therapy.html

Estudios
https://www.ncbi.nlm.nih.gov/pubmed/11927062
https://www.ncbi.nlm.nih.gov/pubmed/19942103
https://www.ncbi.nlm.nih.gov/pubmed/25880388 (sobre curación en los huesos)

Magnetos
https://www.huffingtonpost.com/richard-c-senelick-md/magnetic-therapy-are-magnets-for-pain_b_801664.html

Usos de los imanes
https://science.howstuffworks.com/magnet4.htm

Historia del magnetismo
http://www.ucl.ac.uk/EarthSci/people/lidunka/GEOL2014/Geophysics9%20-Magnetism/Useful%20papers/Magnetism.htm
http://www.howmagnetswork.com/history.html",es,False,False,,
jfwoCS9yxP4,"['Muscle pain', 'herpes Zoster', 'muscle fibrosis', 'depression', 'accidents', 'neurological trophie paralysis', 'joints', 'strokes', 'fibromyalgia', ""Bell's palsy"", 'pain', 'neuropathies', 'paralysis', 'cancer', 'Myofascial pain', 'phobias', 'traumas', 'diabetes', 'muscle pain']",19,Magnetoterapia,"Pseudocientífico
",551,551,411,Sobre Magnetoterapia | Peter Liu,"🌿 Os suplementos que eu uso e recomendo: https://www.doctorspharmacy.com.br/formulas-exclusivas/dr--peter-liu Gostou do vídeo, aperta gosta. Se inscreve. Recebe mais novidades. Compartilhe o máximo com seus amigos. Se libertar da mente. Estamos presos pela nossa mente. 

Mais informações no site Medicina Oriental 
Https://m.facebook.com/saudezen 

Agente sua consulta: 
Medicina Oriental 
Rua Ferreira de Almeida 92
Jd Guanabara, Campinas, SP 

Telefone: (019) 3305-6000
WhatsApp (019)984106241

Dr. Peter Liu é o maior especialista de acupuntura e medicina Chinesa.  Trata as dores músculares, neuropatias, articulações, fibromialgia, dor de coluna, neuroplastia para paralisados. 
Doenças como diabetes, pressão alto, tireoides. intestinais. 
Doenças como fobias, traumas, depressão. 
Doenças graves como câncer, tem acompanhamento. 
Dr. Liu trata seu corpo, mente e alma.


Olá,

Eu sou Peter Liu, sou médico da medicina Chinesa. Tenho uma clínica de acupuntura em Campinas, interior de São Paulo de Medicina Oriental.

No Canal Peter Liu, temos mais de 1200 vídeos para você compartilhar com seus amigos e familiares para que tenham uma qualidade de vida e a saúde melhorada no seu dia-a-dia.

Eu tenho um curso de leitura facial On-Line que está disponível no site oficial do Dr. Peter Liu: https://www.peterliu.com.br, Para quem quiser fazer este curso, basta acessar o site ou entrar em contato usando o WhatsApp no número 019 984106241.

Praticar o Bem salva a vidas das pessoas! É a graça, é de graça! A maior recompensa do bem é o reconhecimento de que você é do bem. Os seus amigos vão agradecer você eternamente por ter salvado a vida deles! Dr. Peter Liu é um especialista de acupuntura e medicina Chinesa, trata as dores musculares, neuropatias, articulações, fibromialgia, dores na coluna. Doenças como diabetes, pressão alta, tireoides e problemas Intestinais. Doenças como fobias, traumas e depressão. Doenças graves como câncer, tem acompanhamento.

Dr. Peter Liu criou 4 modalidades de acupuntura diferenciadas:

1. Neuroplastia: que trata paralisias trofias neurológicos ou de sequelas AVC ou acidentes, paralisia de Bell, paralisia facial, paralisia facial causado por herpes Zoster, paraplégico.

2. Varizes: Usa agulha de acupuntura para curar as varizes sem cirurgia! Pioneiro do mundo.

3. Dores miofacial: Dores musculares com fibrose muscular.

4. Acupuntura na língua: Essa modalidade trata fibromialgia com muita facilidade. Você poderá sentir um alívio imediato com apenas uma sessão mesmo com 5 anos de fibromialgia!

Dr. Peter Liu trata seu corpo, mente e alma.

-------------------------------------------------------------------------------------------------------------
ESTRUTURA DIGITAL

💻 Site Oficial - https://www.peterliu.com.br

-------------------------------------------------------------------------------------------------------------
REDES SOCIAIS

▶️ Facebook: https://www.facebook.com/saudezen
▶️ Instagram: https://www.instagram.com/drpeterliu
-------------------------------------------------------------------------------------------------------------
TREINAMENTOS CRIADOS

✅ Leitura Facial – https://www.peterliu.com.br

__________________________________________________________________
CONTATO

D. Peter Liu
Medicina Chinesa
Telefone: (019) 3305-6000
WhatsApp: (019) 98410-6241",pt,False,False,,
pN5t6HYshSc,"['oxygen', 'pain', 'Magnetotherapy', 'polyneuropathy', 'diabetes', 'diabetic foot']",6,Magnetoterapia,"Pseudocientífico
",399,399,7,"MUDr. Peter Bednarčík, CSc. - Účinky 3D pulzní magnetoterapie Biomag na polyneuropatii, diabetes.","Nízkofrekvenční pulzní magnetoterapie Biomag zmírňuje a úplně odstraňuje zdravotní potíže pozitivním působením magnetického pole na nervovou tkáň. Magnetoterapie je podpůrnou léčbou u všech případů polyneuropatií. MUDr. Peter Bednarčík, Csc, doporučuje používat magnatoterapii dvakrát až třikrát denně na postižená místa, případně i na celou oblast páteře a hlavy. Například při diabetické noze je cílem aplikace tlumení bolesti a zlepšení cirkulačních poměrů ve tkáních. Podporou cévního průtoku – dilatací cév dosahujeme zvýšený přísun kyslíku a živin a vyplavujeme nahromaděné kyselé metabolity. Tím zvyšujeme šanci končetiny na záchranu a zmírňujeme druhotné důsledky diabetu na cévní systém. 

Více o využití magnetoterapie: https://www.biomag.cz/princip-magnetoterapie/",pl,False,False,,
Qaw4GwBRFT4,"['ischemia', 'disorders of the blood vessels of the upper and lower extremities']",2,Magnetoterapia,"Pseudocientífico
",664,664,4,"MUDr. Peter Bednarčík, CSc. - Účinky 3D pulzní magnetoterapie Biomag na ischemii, cévní soustavu.","Nízkofrekvenční pulzní magnetoterapie Biomag rozšiřuje cévy a zlepšuje prokrvení v aplikovaných oblastech. Má výrazný podíl na zlepšení průtoku okysličené krve a mikrocirkulace, což jsou základní podmínky pro hojení a regeneraci poškozených tkání. Soubory jevů, které aplikace pulzní magnetoterapie Biomag ovlivňuje, mají vliv na harmonizaci srdeční činnosti a krevního oběhu. MUDr. Peter Bednarčík, Csc, doporučuje nízkofrekvenční pulzní magnetoterapii jako součást komplexní péče například u pacientů s poruchami cév horních i dolních končetin. 

Více o využití při ischemii: https://www.biomag.cz/ischemicka-choroba-koncetin-ischemie/

Více o využití při léčbě bércových vředů: https://www.biomag.cz/bercovy-vred/",pl,False,False,,
2JvcS5fTgp8,['musculoskeletal pain'],1,Magnetoterapia,"Pseudocientífico
",354,354,0,Magnetoterapia pulsante Biomag - información general para los interesados,"La magnetoterapia pulsante Biomag está destinada a la prevención y el tratamiento de dolores del aparato locomotor y de otros problemas de salud. Se exporta directamente de la fábrica en la República Checa a más de 20 países del mundo y gracias a sus cualidades se ha ganado rápidamente el reconocimiento y popularidad entre los usuarios. Los dispositivos de electroterapia magnética Biomag los utilizan los fisioterapéutas en los centros de rehabilitación, en hospitales o balnearios y, gracias al uso sencillo, también han pasado a formar parte del cuidado particular.https://www.biomag.cz/",es,False,False,,
HxuR0tjwveo,"['depression', 'NeuroSpa TMA', 'Depression', 'ketamine']",4,Magnetoterapia,"Científico
",174,174,73,Depression treatment using magnetic stimulation,"A Bay Area psychiatrist is treating depression with alternatives to medication such as magnetic therapy. https://www.fox13news.com/news/treating-depression-anxiety-with-magnetic-stimulation

It's the best of Good Day Tampa Bay, all day! FOX 13 Tampa Bay brings you the important videos like breaking news, Tampa Bay weather, and local stories. But also plenty of fun stuff, like #WeLiveHere tips, the best of our archives, and all those 'only-in-Florida' stories.

Subscribe to FOX 13 News: https://www.youtube.com/FOX13TampaBay?sub_confirmation=1
More Good Day Tampa Bay videos: https://www.youtube.com/playlist?list=PLrUTXYgsKmP6Be4B9IDR4SDm9uWCv4uaP
More #WeLiveHere videos: https://www.youtube.com/playlist?list=PLrUTXYgsKmP6DRsG2bgFcaEU5L6k1c21w

Watch FOX 13 News live: https://fox13news.com/live
Watch more FOX 13 News stories: https://fox13news.com/

Download our app: https://fox13news.onelink.me/Sd7G?pid=social&c=youtube&af_web_dp=https%3A%2F%2Fwww.fox13news.com%2Fapps
Get our newsletter: https://www.fox13news.com/email",en,False,False,,
KSrEVqQM5rY,"['pain', 'neuropathy', 'injuries', 'weight loss', 'insomnia']",5,Magnetoterapia,"Pseudocientífico
",389,389,0,Almag 01 Introduction and Demonstration,"Dr. Pawluk explains how the Almag 01 works along with a short demonstration and Almag 01 review.
Subscribe for more on PEMF Devices: http://bit.ly/DrPawluk

The Almag 1 is a Russian designed PEMF system. The Russians have been working with PEMFs for over 40 years. They have the most clinical experience of any other country in this area, as part of the former USSR. This system uses their own unique ""traveling"" magnetic fields which allow for higher field intensities but also reduced adaptation or tolerance to the PEMF stimulation. With all these advantages, they are able to keep the cost of owning one to a very acceptable level, given the potential health benefit.

#PEMF #PainRelief #Holistic

▬▬ ABOUT DR. PAWLUK ▬▬ 

Dr. William Pawluk, MD, is considered the foremost authority on the use of Pulsed Electromagnetic Field therapy for pain in North America. He has been using PEMF Therapy in his personal medical practice for years and has helped hundreds of doctors and practitioners find the right PEMF devices for their practice. He’s constantly looking at different magnetic systems to complement the ones he already trusts. From years of working with static magnets and now PEMF therapy devices, he has treated or supported the treatment of thousands of individuals – himself, family members, neighbors, pets, patients and the curious.

Dr. Pawluk is a practical medically and holistically trained physician. He is a formerly Board-Certified family physician with a practice near Baltimore, Maryland. He has had academic appointments at Johns Hopkins and the University of Maryland as well as training in acupuncture, homeopathy, hypnosis, and bodywork. He specializes in pain management techniques without medication and has used PEMF therapy successfully to treat neuropathy, injuries, and over 50 other conditions.

▬▬ WHY PEMFs? ▬▬ 

PEMFs (compared to other alternative pain solutions such as laser, ultrasound, TENS, and even acupuncture) have the best value for the cost because magnetic therapy goes all way through the body, is very safe and is available for home use. PEMF Therapy is also beneficial to a much wider range of conditions including insomnia and weight loss. The availability for home use is critical. Many therapies, including Electromagnetic therapy, are most effective if you can perform treatments daily. However, it is not always possible to visit your doctor daily. Therefore, it’s much better for patients/individuals to own their own PEMF devices for daily home use. Proper instruction is an important part of individuals seeing success from doing their own home PEMF treatments.

▬▬ ☆ THE FUTURE OF PEMF THERAPY ☆ ▬▬ 

My goal is to bring the benefits of this extraordinary therapy to as many people as possible by sharing the research into the amazing results that PEMF Therapy can achieve across a wide spectrum of health conditions and physiologic functions. In order to be able to help the most people with alternative treatments for chronic pain, I work diligently to keep up-to-date and be the most informed on what research has been done and what works best and share these developments with the public and the medical community.

When a doctor or skeptic says there is no evidence to support the use of PEMFs or magnet therapy for pain, my hope is that this channel and my website will help to demonstrate that just because it’s not considered standard medical care doesn’t mean it’s not valuable.

▬▬ CONTACT DR. PAWLUK ▬▬ 

Visit his website: https://www.drpawluk.com/
Like his Facebook page: https://www.facebook.com/DrPawluk/
Follow him on Twitter: https://twitter.com/drpawluk/
Find the PEMF Buyer’s Guide HERE: https://www.drpawluk.com/buyers-guide/pemf-machines/",en,False,False,,
G3EtgtpdTig,"['fractures', 'injuries', 'carpal tunnel syndromes']",3,Magnetoterapia,"Pseudocientífico
",633,633,3,"MUDr. Peter Bednarčík, CSc. - Účinky 3D pulzní magnetoterapie Biomag na endoprotézy, úrazy.","Nízkofrekvenční pulzní magnetoterapie Biomag má pozitivní účinky například při rekonvalescenci po implantaci endoprotéz a obecně při pooperačních stavech. Využívá se také třeba při léčbě zlomenin, tenisového lokte či zmírňuje syndromy karpálního tunelu. Nízkofrekvenční pulzní magnetoterapie vytváří lepší podmínky prokrvení ve tkáních, zlepšuje proces hojení a napomáhá lepší pohyblivosti organismu. Průvodcem jejího využití v medicíně a rehabilitaci je odborník na magnetoterapii MUDr. Peter Bednarčík, Csc.

 Využití přístrojů Biomag po endoprotéze: https://www.biomag.cz/endoprotezy/",pl,False,False,,
ihDfRFhtoP8,"['bladder inflammation', 'shingles', 'mononucleosis', 'tick-borne encephalitis', 'infectious hepatitis', 'Mononucleosis', 'infertility', 'Lyme disease', 'inflammation', 'urinary tract infections']",10,Magnetoterapia,"Pseudocientífico
",436,436,2,"MUDr. Peter Bednarčík, CSc. - Účinky 3D pulzní magnetoterapie Biomag na virové, infekční onemocnění.","Nízkofrekvenční pulzní magnetoterapie Biomag bývá aplikována po závažných infekčních, bakteriálních nebo virových onemocněních pro odstranění či minimalizaci následků a urychlení regenerace poškozených tkání. Mezi nejčastější případy patří následná péče po mononukleóze, Lymské borelióze, infekční žloutence nebo pásovém oparu. Má pozitivní účinky i při léčbě zánětech močových cest či neplodnosti žen po prodělaných zánětech. Vyzkoušejte pulzní magnetoterapii Biomag nejen v období léčby zmiňovaných onemocnění, ale také jako prevenci jejich vzniku.",pl,False,False,,
3L9128FyExY,"[""'s syndrome"", 'hemorrhoids', 'disorders of the lower limb vessels, upper limb vessel disorders', 'leg ulcer', 'tinnitus', 'ischemia', 'sexual dysfunction']",7,Magnetoterapia,"Pseudocientífico
",664,664,0,"MUDr. Peter Bednarčík, CSc. - Effects of 3D pulse magnetotherapy Biomag on ischemia,vascular system.","​Low-Frequency Pulse Magnetotherapy Biomag expands blood vessels and improves blood circulation in applied areas. It has a significant share in improving oxygenated blood flow and microcirculation, which are the basic conditions for healing and regeneration of damaged tissues. The sets of phenomena that affect Biomag pulse magnetotherapy affect the harmonisation of cardiac activity and blood circulation. MUDr. Peter Bednarčík, Csc, recommends low-frequency pulse magnetotherapy as part of complex care, for example, in patients with upper and lower limb disorders.",en,False,False,,
