,BC5CDR_Terms,BC5CDR_Count,Search_Term,Content_Classification,duration_seconds,duration_seconds,comment_count,video_title,video_description,detected_language,is_live_broadcast,is_archived_live,live_actual_start_time,live_actual_end_time
WPvhYmcaLHc,[],0,Naturopatía,"Pseudocientífico
",4581,4581,416,"ASMR Naturopathy consultation (Unintentional, real person ASMR)","This week's ASMR video is a naturopathy consultation 🥰 Yvonne was so helpful and really shone a light on just how unbalanced my diet has been lately... this session has really inspired me to take better care of myself and check what I am eating and I am so grateful that I was able to film it for you all for both educational and relaxation purposes! ✨

💕Treatment Details are as follows:💕
Website: https://www.yjdnaturaltherapies.com/index.html 

As always this video is not sponsored. I am uploading it with the hope that it helps people relax after a hard days work or school.✨

If you’d like to support my work, please consider donating to my Ko-fi! (https://ko-fi.com/asmrbeauty) Any amount is much appreciated! ❤️

‼️All of my content is footage of real sessions and experiences I have had in London or in other parts of the UK. I upload these sessions with the intention to help people destress, relax and learn‼️

Time stamps:
Preview: 00:00 - 00:59
Video:  1:00 - 1:16:20

#asmr #asmrbeauty #asmrmedicalexam #asmrhealth #asmrmedical",en,False,False,,
s2bQudmjiBE,[],0,Naturopatía,"Pseudocientífico
",785,785,41,Mi Dieta Amucosa y la Naturopatía - Arnold Ehret,"""Mi Dieta Amucosa y la Naturopatía"" por Arnold Ehret.
Narración con voz humana :)

Gracias por escuchar esta valiosa información.

📚 Sistema Curativo por Dieta Amucosa:
🇪🇸👉🏽 https://amzn.to/2ApZYef
Fuera de España: https://amzn.to/2II97Dr

🌳 Grupo de Estudio VUELTA AL PARAÍSO FRUGAL
👉🏽 https://facebook.com/groups/mucusless

Más libros en español de Arnold Ehret:

😇 Ayuno Racional para el Rejuvenecimiento Físico, Mental y Espiritual
🇪🇸👉🏽 https://amzn.to/2HGueGF
Fuera de España: https://amzn.to/2IvsLU4

⭐️ El Camino hacía la Salud y la Felicidad
🇪🇸👉🏽 https://amzn.to/2zZ1WBG
Fuera de España: https://amzn.to/2Dk3yYf

Otros enlaces:

ARNOLD EHRET
Web oficial https://arnoldehret.info
Instagram: https://instagram.com/arnoldehret
Facebook: https://facebook.com/arnoldehret.info
Telegram: https://t.me/arnoldehret

DAVID GIL
Web: http://caminoalorigen.es
Instagram: https://instagram.com/edenicboy",es,False,False,,
FmZhDc0CjJo,['Naturopathy'],1,Naturopatía,"Pseudocientífico
",2124,2124,137,La Naturopathie : arnaque ou vraie medecine? - CS#6,"La naturopathie est une pratique alternative de plus en plus développée, qui promet de soigner par les plantes, en utilisant que des produits et des méthodes qui se disent ""Naturels"". Mais pour autant, faut-il lui faire confiance ? Dans cette nouvelle capsule scientifique, je vous présente la naturopathie, et ce qui la caractérise, puis j'essaye de confronter cette pratique aux données de la science.

Twitter : https://twitter.com/MedicaleLa
Facebook : https://www.facebook.com/lacapsulemedicale

Sources utilisées :
Source OMS : https://apps.who.int/iris/bitstream/handle/10665/95009/9789242506099_fre.pdf
Source Solidarités-Santé : https://solidarites-sante.gouv.fr/soins-et-maladies/qualite-des-soins-et-pratiques/securite/article/les-pratiques-de-soins-non-conventionnelles
Article Le Monde : https://www.lemonde.fr/societe/article/2021/09/11/un-an-ferme-requis-contre-un-naturopathe-pour-exercice-illegal-de-la-medecine_6094310_3224.html
Article RTBF : https://www.rtbf.be/article/naturopathie-medecine-douce-ou-escroquerie-9925758
Source étude 1 : https://pubmed.ncbi.nlm.nih.gov/12714472/
Source étude 2 : https://pubmed.ncbi.nlm.nih.gov/21695547/
Source Médoucine : https://www.medoucine.com/pratiques/naturopathie
Article Le Monde 2 : https://www.lemonde.fr/les-decodeurs/article/2018/05/30/menaces-sur-les-huiles-essentielles-les-intox-d-une-petition-a-succes_5307120_4355770.html#link_time=1527779888
CHU de Lille sur les huiles essentielles : https://www.cap.chu-lille.fr/huiles-essentielles/#1612968921728-2706b490-1788

Cette vidéo est sous-titrée.

Chapitres de la vidéo :
00:00 Introduction
01:45 Préambule
05:51 Principes de la naturopathie
15:14 La science et la naturopathie
20:29 Huiles essentielles
25:00 Mon avis perso
33:36 Conclusion

Toutes les illustrations, vidéos illustratives et morceaux sonores vus et entendus dans cette vidéo sont libres de droit.

Contact Professionnel : lacapsulemedicale@gmail.com
Vous souhaitez soutenir mon travail ? https://utip.io/DocteurC",fr,True,True,2022-07-01T18:00:19Z,2022-07-01T18:37:28Z
AQLMr8Tx7-Y,[],0,Naturopatía,"Pseudocientífico
",60,60,0,Ebook Naturopatía en Mascotas,,pt,False,False,,
sBia5gubAj4,['Reverdecer'],1,Naturopatía,"Pseudocientífico
",,,,,,,False,False,,
O9tdQe-9Pt0,"['Nelson', 'cancer']",2,Naturopatía,"Pseudocientífico
",8287,8287,3,1RA. CLASE (GRATIS) NATUROPATÍA DE 2DA. GENERACIÓN | VANDER. Dr. Nelson Vásquez,"Esta es la Primera clase (gratuita) de Naturopatía de Segunda Generación de Instituto Vander Internacional.
OJO: PARA VER LAS BECAS Y DESCUENTOS ACTUALIZADOS A LA FECHA QUE MIRAS EL VIDEO PUEDES CONTACTARNOS Y APROVECHAR LOS BENEFICIOS ACTUALIZADOS:

INFORMACIÓN E INSCRIPCIONES POR WHATSAPP: 
COLOMBIA: 302 835 0663
PERÚ: 969 037 842
VENEZUELA Y OTROS PAÍSES: +549 11 4174 1656
ENLACE DIRECTO: https://walink.co/6cc1fc

Sitio web: INSTITUTO VANDER INTERNACIONAL: vanderoficial.com",es,True,True,2024-08-16T14:57:34Z,2024-08-16T15:32:25Z
hfDxkueIkMI,"['Naturopathy', 'schizophrenic']",2,Naturopatía,"Pseudocientífico
",498,498,6,GIULIA GATTERE| Tu Farmacéutica y Naturópata de Confianza 🌼 PRESENTACIÓN DEL CANAL,"Hola, soy Giulia Gattere. ¡Tu Farmacéutica y Naturópata de Confianza!

Estoy encantada de que visites mi canal :)

Mi objetivo como profesional de la salud es poner todo mi conocimiento a a disposición de las personas para ayudarlas en su bienestar mediante un método 100% natural que he desarrollado a través de mi formación farmacéutica y naturopática.

***ALGUNOS DATOS SOBRE MÍ***
Farmacéutica Licenciada en una de las Facultades más acreditada de Italia; Universidad del Piemonte Oriental, en Novara.
Publicación de un Artículo Científico, en colaboración con el Instituto Pere Mata de Reus, sobre la relación de la variablididad genética y la alimentación en pacientes esquizofrénicos.
Postgrado de Dermocosmética Aplicada en la Universidad de Barcelona, una de las Universidades más célebres de España.
Postgrado de Naturopatía Aplicada en Rudy Lanza, una de las más prestigiosas y antiguas de Europa sobre temas de Naturopatía.
Formo parte de la Federación Nacional de Naturópatas Profesionales (FNNP) de Italia.

Siguiendo mi método naturopatico integral nacogat, en 2 semanas resolverás tus síntomas y en 6 meses aprenderas todo lo que necesitas para lograr tu autocuracion y vivir siempre en total salud.

En estas consultas como farmacéutica y naturopata, no se entiende dar juicios diagnósticos ni formular intervenciones terapéuticas médicas.
El objetivo es educarte y facilitarte la formación sobre modelos de vida adecuados a tu constitución personal, para que sepas experimentar y conservar un estado de equilibrio.

Mis mantras favoritos:
Vive como si fueras a morir mañana, aprende como si fueras a vivir para siempre. Gandhi.
Cuida te tu cuerpo, es el único sitio donde seguramente viveras para siempre. Jim Rohn.",es,False,False,,
gcX_YvUOJmU,"['Pain', 'Naturopathy']",2,Naturopatía,"Pseudocientífico
",156,156,1,Naturopatía Manual TNDR,"El Dr. Cayo Martín, creador de la TNDR, nos explica en qué consiste la Naturopatía Manual TNDR.",es,False,False,,
KchJ31H1qGo,[],0,Naturopatía,"Pseudocientífico
",2764,2764,0,Qué es la Naturopatía? Ciencia de la Salud,"Ponencia 1. II Congreso Europeo de la Profesión Naturopática

""Naturopatía, disciplina de carácter autónomo dentro del marco de las Ciencias de la Salud""",es,False,False,,
bEYdfY3z6qs,"['Pain', 'Naturopathy']",2,Naturopatía,"Pseudocientífico
",332,332,0,Naturopatía Alimentaria TNDR,"El Dr. Cayo Martín, creador de la TNDR, nos explica el origen de la Alimentación Sindrómica TNDR. Una alimentación individual y adaptada a las condiciones de cada persona. Todos los alimentos no son iguales, aunque químicamente sean similares, luego debemos comer aquello que vaya con nuestro Cuadro Sindrómico TNDR.",es,False,False,,
